"","match_nb","Acinonyx_jubatus","Acinonyx_jubatus2","Acryllium_vulturinum","Aepyceros_melampus","Aepyceros_melampus2","Agalychnis_callidryas","Ailuropoda_melanoleuca","Ailurops_ursinus","Ailurus_fulgens","Alligator_mississippiensis","Amblyrhynchus_cristatus","Aonyx_cinereus","Aonyx_cinereus2","Aquila_chrysaetos","Ara_ararauna","Ara_chloropterus","Arctocephalus forsteri","Arctocephalus_forsteri2","Artibeus_planirostris","Asio_flammeus","Ateles_hybridus","Ateles_paniscus","Athene_noctua","Athene_noctua2","Athene_noctua3","Balaeniceps_rex","Bison_bonasus","Bison_bonasus2","Boa_constrictor","Bubo_bubo","Bubo_bubo2","Bubo_scandiacus","Bufonidae","Buprestidae","Buteo_galapagoensis","Cairina_moschata","Calliphora_vomitoria","Callithrix_argentata","Callithrix_penicillata","Calloselasma rhodostoma","Canis_lupus","Canis_lupus_familiaris","Canis_lupus_familiaris2","Carlito_syrichta","Centurio_senex","Cerdocyon_thous","Chelonoidis_porteri","Choloepus_didactylus","Choloepus_didactylus2","Choloepus_didactylus3","Chroicocephalus_scopulinus","Columba_livia","Conolophus_pallidus","Corvus","Corvus2","Crocodylus_porosus","Crocuta_crocuta","Crotalus_atrox","Crotalus2","Cryptoprocto _ferox","Cynictis_penicillata","Dasypus_novemcinctus","Daubentonia_madagascariensis","Dendroaspis_angusticeps","Desmodus_rotondus","Didelphis_virginiana","Equus_caballus","Eudyptes chrysolophus","Eudyptes_chrysocome","Eulemur _coronatus","Eulemur _coronatus2","Euphractus _sexcinctus","Evarcha_arcuata","Felis_catus","Felis_silvestris","Geronticus_eremita","Giraffa_camelopardalis_reticulata","Gorilla_Gorilla_Beringei","Gorilla_gorilla_gorilla","Gulo_gulo","Gulo_gulo2","Gymnogyps_californianus","Gypaetus_barbatus","Gypaetus_barbatus2","Gyps_rueppelli","Haematopus_ater","Harpia_Harpyja","Helarctos_malayanus","Hemicentetes_semispinosus","Heterocephalus_glaber","Hippopotamus_amphibius","Hyaena_hyaena","Hyles_euphorbiae","Hylobates_agilis","Hypsignathus_monstrosus","Iguana_iguana","Iguana_iguana2","Incilius_alvarius","Incilius_alvarius2","Intellagama_lesueurii","Laticauda_laticaudata","Laticauda_saintgironsi","Lemur_catta","Lemur_catta2","Leopardus_wiedii","Leptailurus_serval","Leptoptilos_crumenifer","Libellula_quadrimaculata","Litoria_infrafrenata","Loris_tardigradus","Loxodonta_africana","Lycaon_pictus","Lycaon_pictus2","Lynx_rufus","Lynx_rufus2","Macaca_fuscata","Macaca_silenus","Macronectes_halli","Macropus_rufogriseus","Malayopython_reticulatus","Malpolon_monspessulanus","Mandrillus_sphinx","Mandrillus_sphinx2","Miopithecus_ogouensis","Morelia_spilota","Mungos_mungo","Muscardinus_avellanarius","Mygale","Myocastor_coypus","Naja_naja","Nasua_narica","Nasua_nasua","Necrosyrtes_monachus","Neofelis_nebulosa","Nestor_meridionalis","Notechis_scutatus","Numida_meleagris","Nyctereutes_procyonoides","Odonata","Odonata2","Oryctolagus_cuniculus","Oryctolagus_cuniculus2","Otocolobus_manul","Pamphagidae","Pan_paniscus","Pan_paniscus2","Pan_paniscus3","Pan_paniscus4","Pan_troglodytes","Pan_troglodytes2","Panthera_leo","Panthera_leo2","Panthera_leo3","Panthera_onca","Panthera_onca_2","Panthera_onca3","Panthera_pardus","Panthera_pardus_3","Panthera_pardus2","Panthera_tigris2","Panthera_uncia","Papillon","Papio_hamadryas","Pardofelis_temminckii","Petroica_macrocephala","Phacochoerus_africanus","Phascolarctos_cinereus","Phascolarctos_cinereus2","Pholcus_phalangioides","Pithecia pithecia","Pithecia pithecia2","Plathyrrhinus_fusciventris","Podarcis_muralis","Pogona_vitticeps","Porphyrio_hochstetteri","Procyon_lotor","Propithecus_coquereli","Propithecus_verreauxi","Psittacus_erithacus","Pteropus_conspicillatus","Puma_concolor","Python_bivittatus","Python_regius","Rattus_norvegicus","Rhinopithecus_roxellana","Rhyticeros_cassidix","Romalea_microptera","Saiga_tatarica","Sarcophilus_harrisii","Spalax","Spheniscus_humboldti","Stephanoaetus_coronatus","Strophurus","Struthio_camelus","Sula_nebouxii","Sula_sula","Suricata_suricatta","Sus_scrofa","Tapirus_indicus","Taricha_torosa","Tauraco_leucotis","Testudo_hermanni","Thalassarche_cauta","Theropithecus_gelada","Thomisus_onustus","Tockus_flavirostris","Trichosurus_vulpecula","Ursus_arctos_horribilis","Ursus_maritimus","Ursus_thibetanus","Varecia_rubra","Varecia_variegata","Vespula_germanica","Vicugna_pacos","Vicugna_pacos2","Vicugna_vicugna","Vipera_ammodytes","Vipera_aspis","Vulpes_zerda","Zamenis_longissimus","Zoropsis_spinimana"
"34",64800,1649.8,1673,1560.7,1328.9,1155.1,1393.4,1281.6,1347.5,1184.9,1925.9,1635.5,1253,1173.2,1511,1174.6,1201.1,1487.9,1349.1,1527.1,1259.5,1553.5,1273.5,1265.5,1267.8,1400.9,1574.5,1758.3,1714.6,1826.8,1292.5,1303.1,1310.8,1496.8,1640,1534.4,1490.8,1539.9,1392.7,1348.7,1822.3,1630.5,1548.8,1295.3,1347,1803.1,1383.7,1268,1264.3,1229.6,1169.7,1395.1,1284,1732.7,1406,1349.4,1983.2,1764.6,1766.9,1845.1,1456.1,1474.5,1302,1632.3,1770,1589.6,1395.7,1243.3,1197.5,1359.7,1381.6,1351.1,1457.1,1722.5,1410,1141.4,1507.4,1220.7,1654.5,1637.1,1540.6,1578.8,1705.7,1430.9,1481.5,1623.7,1306.8,1368.3,1699.2,1497.5,1686,1793,1733.7,1566,1346.6,1648.1,1603.6,1518,1510.4,1567.4,1576.7,1864.1,1826.4,1236,1264.7,1421.2,1468.5,1569.2,1589.9,1284.3,1130.5,1540.8,1656.3,1671.2,1674.5,1583,1542.5,1464.9,1524.1,1345,1871.8,1816.8,1586.7,1632.4,1377.3,1796.7,1467.2,1168,1729.4,1270.4,1923.9,1476.7,1331.3,1579.6,1605.4,1344.1,1793.6,1503.2,1373.7,1510.4,1574.7,1023.7,903,1461.2,1525.6,1494.9,1458.3,1421.6,1330.7,1494.8,1381.2,1755.2,1715.1,1757.5,1772.9,1624.1,1838.4,1783,1819.9,1675.4,1784.7,1708.4,1586.7,1573.7,1585.2,1100.6,1784.3,1009.9,1087.9,1866.7,1499.5,1552.5,1535.6,1656,1505.8,1514.2,1293.5,1276.5,1255.5,1208.2,1385.6,1673.1,1846.6,1787.6,1299.2,1284.5,1392.5,1502.2,1426.5,1588.6,1550.3,1240.8,1527.2,1574.9,1507.6,1430.6,1511.4,1333.8,1575.3,1373,1431.7,1168.3,1127.9,1481.1,1680.1,1762.4,1537.5,1422.6,1793.4,1702.5,1695.4,1341.2,1322.1,1646.8,1362.9,1376.7,1218.1,1891.3,1832.8,1271.8,1830.9,1745.1
"35",66800,1709.6,1691.8,1534.4,1278.5,1225.1,1398.5,1295.3,1420.5,1135.6,1912.1,1675,1214.2,1240.1,1483.5,1249.6,1233.2,1491.3,1272.3,1542,1287.6,1545.9,1268.8,1332.4,1287,1331,1596.3,1765.6,1737.2,1798.9,1262.3,1311.8,1310.5,1471.5,1628.6,1557.1,1481.8,1659.5,1363.1,1372,1883.3,1541.8,1609,1270.3,1350.5,1784.4,1367.9,1301.4,1247.4,1224.2,1221.4,1321.8,1281.2,1710.9,1487,1383.8,2003.5,1760.9,1848.4,1876.7,1550.3,1418,1356.5,1622.4,1761.4,1580.3,1434.6,1179.9,1233.6,1259.8,1410.4,1308.5,1495.7,1783.2,1383.1,1122.9,1582,1243.6,1642.8,1616.7,1531.7,1546.6,1670.3,1437.1,1455,1562.8,1343.7,1467.3,1613.7,1492.3,1701.1,1701.5,1759.5,1552.6,1266.6,1562.8,1598.7,1523,1483.2,1490.4,1585.1,1835.2,1857.8,1226.7,1274.8,1406,1427.9,1541.8,1555,1326.7,1254.1,1491,1690.4,1687.4,1627.6,1546.9,1557.4,1504.9,1588.1,1362.3,1848.1,1810.7,1609.9,1606.7,1381.7,1794.1,1471.3,1188.1,1779.8,1363.1,1945.3,1493.1,1373.4,1504.4,1580.1,1345.7,1781.6,1509.9,1359.4,1559.4,1571.1,1037.3,881.6,1505.4,1513.5,1446.2,1382.4,1444.2,1357,1554,1331.8,1765.2,1686.9,1719.9,1687.9,1702.1,1773.9,1824.6,1766.8,1683.7,1827.4,1640.9,1479.6,1625.9,1603.3,1053.5,1769.6,1081.7,1047.6,1847.1,1473.3,1552.8,1536,1649.3,1455.9,1459.7,1270.7,1263,1254.8,1213.5,1405.7,1686.4,1839.9,1814.4,1357.6,1237.3,1431.1,1486.5,1462.4,1563.4,1558.9,1190.3,1519.3,1492.1,1608.7,1431.7,1512.5,1346,1622.8,1333.7,1406.9,1091.2,1182.5,1474.5,1684.7,1752.6,1548,1495.8,1773.1,1658.8,1613.7,1443.9,1297.8,1745.6,1324,1339.5,1234.8,1895.4,1838.1,1296.5,1782.1,1732.9
"36",68800,1589.2,1659.9,1604.8,1300.6,1267.3,1420.8,1296.5,1407.3,1177.2,1943.1,1682.5,1152.2,1186.7,1529.2,1242.6,1216.9,1509.3,1285.6,1553.8,1244.1,1526.1,1297.7,1325.7,1248.1,1259.5,1590.8,1748.1,1657.8,1879.5,1267,1378.3,1243.4,1524.3,1684.5,1507,1529.5,1536.9,1395.7,1421.6,1828.7,1564.7,1575.7,1224.1,1373.6,1744.7,1340.2,1268.1,1318.1,1251.6,1271.1,1377.3,1319.4,1649.6,1490.4,1409.8,1975.3,1734.2,1791.4,1843.4,1553.3,1432.6,1360.3,1637,1824.5,1578.2,1401.7,1291.4,1266.7,1249.5,1351.1,1281.9,1474.9,1758.1,1453.5,1181.9,1575.5,1217.9,1638.5,1623.7,1489.4,1661.4,1661.5,1425.7,1509.1,1594.5,1289.1,1387.5,1690.4,1504.4,1733.7,1747.7,1737,1539.5,1308.9,1568.4,1628,1605,1430.2,1543.3,1516.1,1824.2,1861.7,1290.6,1292.5,1445.3,1427.1,1546.1,1583.5,1278.6,1201.3,1477.9,1695.8,1601.4,1671.6,1574.6,1507.5,1488.7,1637.8,1312,1866.8,1761.2,1670.7,1654.3,1438.5,1791.9,1498.6,1162.6,1823.2,1331.3,1940.6,1473.1,1337.6,1547.3,1553.9,1377.4,1822.9,1502.9,1352.9,1557.1,1498.4,1060.1,937.6,1468.3,1483.6,1369.3,1416.1,1443.2,1348.1,1519.2,1337,1736,1691.5,1725.1,1748.5,1669.6,1797.6,1787.4,1755.5,1680.1,1684.1,1624.8,1491.3,1605,1562.6,999.1,1782.3,1015.2,1044.2,1851.3,1483.6,1513.2,1563.2,1714.6,1431.9,1541.4,1262.9,1260.4,1332.9,1275.1,1441.3,1755.1,1832.7,1790.2,1315,1305,1439.1,1480.2,1482.1,1602.7,1584.8,1256.7,1540.8,1494.9,1553.5,1430.1,1551.9,1296.4,1561.2,1371.7,1436,1101.4,1106.7,1529,1644.6,1764.6,1480.4,1418.6,1738.1,1648.2,1637.9,1416,1308.9,1694,1336.4,1346.4,1207.6,1829.4,1820.5,1324.1,1764.7,1801.3
"37",70800,1607.5,1702,1565.6,1294.8,1260.9,1428.9,1302.7,1324.4,1187,1840.9,1693.3,1140.7,1149.1,1459.5,1255,1242.8,1487.7,1331.9,1478.3,1285.4,1562.1,1286.8,1197.8,1287,1306.3,1576.2,1793,1618.6,1838.6,1262,1323.2,1267.1,1513,1672.5,1548.9,1539.7,1621.3,1327.4,1417.3,1839,1541.3,1573.2,1300.3,1376.8,1703.1,1360.7,1286.6,1423.5,1250.9,1270.9,1312,1237.1,1728.2,1487,1343,1981.4,1799.3,1813.7,1857,1445.3,1412,1348.5,1598.7,1822.5,1626.1,1410.8,1178.3,1251.7,1268.6,1452.3,1295.3,1396.8,1807.4,1422.9,1083.2,1602.6,1255.5,1606.3,1653.7,1519.3,1536.4,1654.6,1449.4,1488.6,1535.2,1309.6,1496.1,1656.2,1512,1747.7,1701.1,1742.1,1570.6,1320.6,1621.3,1602.9,1577.3,1537.8,1509.2,1589,1780.1,1842.2,1300.4,1292.2,1483,1483.5,1585.4,1586.8,1293.3,1247.4,1550.9,1725.8,1685.4,1702.4,1531.1,1504.5,1536.4,1634.1,1303.8,1921.2,1818.4,1666.8,1594.4,1435.9,1857,1462.5,1154.2,1851.1,1274.5,1878,1415.6,1336.7,1578.8,1619.3,1387,1793.2,1524.6,1335.1,1428.7,1622.4,1026.5,887.7,1484.1,1467.5,1462.6,1412.5,1399.8,1360.6,1582.6,1321.9,1733,1662.8,1691.1,1737.2,1741,1828.8,1788,1694.2,1645.7,1723.1,1688,1535.8,1610.1,1626.3,1027.6,1741.4,1023.3,984.1,1892.4,1512.9,1562.7,1524.1,1664.5,1486.1,1479.9,1393.4,1320.8,1262.4,1285.3,1433.7,1653.1,1852.2,1780.6,1324.4,1298.7,1400.3,1442.7,1419,1543.8,1557.2,1186,1525,1533.8,1585.2,1449.2,1478.6,1331.6,1595.7,1336.1,1421,1113.5,1213,1413.8,1694.4,1763.4,1500.6,1473.8,1705.3,1707.8,1630.4,1412.2,1344.3,1688.9,1269.7,1281.6,1225,1920.8,1886.2,1256.8,1712.5,1744.5
"38",72800,1624.7,1718.4,1630.2,1306.5,1238.8,1409.3,1373.7,1364.1,1184.5,1898.9,1646.6,1208.1,1234.4,1454.1,1201.3,1217,1463.8,1292.5,1531.9,1273.8,1582.7,1315.4,1276.2,1311.8,1368.9,1562.2,1750.8,1717.7,1790.9,1241.5,1279.5,1264.1,1549.1,1654.7,1580.7,1537.8,1588.3,1314.1,1432.8,1902.7,1577.9,1517.1,1333.9,1410.4,1784,1304.3,1253.6,1319.5,1190.9,1234.1,1338,1316,1784.3,1512,1361.9,2024.6,1750,1823.6,1861,1499.8,1482.1,1356.1,1579.6,1815.2,1653.5,1400.3,1168.8,1201.1,1314.1,1356,1403.7,1439.3,1775.8,1389.8,1142,1644.8,1245.5,1550.4,1630.9,1487.9,1562.5,1604,1447.3,1505.6,1521.4,1299.1,1484.5,1693.7,1513.5,1706.8,1745.6,1765,1527.3,1278.2,1640,1646.8,1502.6,1400.6,1479.8,1538.1,1792.8,1859.9,1208.4,1276.9,1419.6,1423.2,1522,1553.7,1315,1197.4,1531.7,1676.2,1605,1705.5,1566.8,1535,1468.6,1585.6,1292.9,1874.2,1780.3,1730.2,1644.9,1349.4,1841.3,1495.9,1241.8,1783.1,1269,1931.9,1495.4,1378.8,1530.2,1608.6,1422.7,1824.2,1504.6,1325,1517.9,1532.3,1061,859.9,1458.7,1556.2,1393.7,1362,1399.3,1384.4,1502,1394.4,1749,1648.6,1744.2,1745,1727.1,1824.6,1809.5,1713.2,1633.9,1784.7,1645.1,1529.3,1647.5,1542,1004,1720.5,1033.3,1064.2,1811.5,1536.6,1586.4,1545.9,1652.1,1424.2,1483.4,1274.3,1254.6,1306.5,1246.7,1463.7,1711,1812.4,1784.1,1357.8,1319.2,1372.4,1560.2,1433.2,1574.4,1576.3,1209.4,1549.3,1513.7,1504.1,1416.1,1468.5,1260.1,1575.3,1375,1460.6,1095,1175.9,1499.2,1589.1,1699.9,1514.4,1482.8,1735.6,1714,1675.7,1445.6,1284.2,1720.6,1310.5,1357.4,1256.5,1889.4,1830.2,1298.6,1762,1798.5
"39",74800,1680.4,1735.6,1620.5,1282.3,1216.3,1422.5,1284.5,1381.7,1118.2,1915,1682,1135.9,1257.7,1510.9,1250.1,1204.2,1458.7,1336.5,1524.6,1312,1538.2,1296.5,1213.5,1303.1,1294.2,1565.1,1770.2,1677.9,1817.9,1289.9,1275.5,1289.6,1516.9,1651.1,1586.7,1505.7,1580.6,1384.7,1371.9,1945,1491.4,1578.2,1322,1387.3,1734.9,1322.1,1174,1322.3,1247.8,1238.6,1310.7,1304,1747.3,1440.4,1393.2,1942.8,1772.1,1819,1867.2,1538.5,1519.5,1358.6,1640,1784,1649.3,1461.1,1204.4,1260.7,1308.2,1362.2,1290.2,1392.1,1754.1,1405.4,1158.3,1553,1275.1,1600.6,1666.1,1478,1594.6,1589.6,1444.3,1509.6,1552.2,1317,1471,1667.3,1476.4,1671,1743.6,1743.3,1588.8,1346.1,1626.3,1619.8,1531.4,1463.5,1475.6,1594.4,1856.1,1838.9,1301.8,1323.8,1447,1397.5,1552.3,1589.4,1340.9,1219.7,1526.6,1696.1,1665.6,1666.1,1533.8,1497,1536.4,1544.9,1359.6,1889.6,1761.5,1604.2,1640.4,1392.8,1820.8,1451,1215.7,1854.6,1278.3,1923.9,1481.5,1336.4,1485.5,1533.2,1336.8,1804.1,1553.6,1357.8,1522.7,1531.2,1071.6,859.9,1488.7,1503.8,1377.2,1426.8,1430.5,1366.9,1544.1,1440.8,1740.5,1701,1735.4,1704.4,1670.2,1782.2,1785.8,1697,1663.7,1774.3,1682.2,1526,1614.9,1598.2,992.2,1808.8,965.8,1038.2,1822.4,1538.4,1572.9,1555.4,1697.9,1466.3,1453.3,1315.9,1331.9,1248.5,1314.2,1432.2,1720.6,1787.9,1826.5,1276.4,1279,1410.1,1449.8,1427.5,1573.8,1571.8,1227.9,1468.4,1524.2,1547.1,1472.8,1493.5,1323.2,1594.8,1314.2,1432.8,1134.9,1105.7,1446.4,1686.3,1690.5,1491.6,1399.3,1736.3,1712.7,1714,1482.3,1290.8,1756.2,1285.9,1363.7,1181.6,1893.9,1867.3,1331.5,1701,1792
"40",76800,1623.5,1624.8,1588.4,1321.2,1239.7,1404.8,1368.6,1376.6,1227.1,1943,1645.5,1151.8,1215.1,1444.5,1187.8,1244.5,1475.2,1293.8,1563,1270.5,1492.3,1290.6,1318.6,1308.5,1304.1,1544.1,1728.1,1667.5,1785.9,1300.2,1322.2,1292,1490.1,1668.5,1573.7,1475.5,1558.7,1381.8,1380.8,1913.4,1557.1,1586.2,1314.9,1451.8,1761.1,1382.2,1290.8,1412.3,1238.6,1267.3,1348.7,1286.9,1716.6,1423.1,1346.8,1953.4,1754.1,1767.6,1843.2,1499.8,1493.3,1391,1584.7,1782.7,1607.4,1488.3,1199.5,1214.9,1304,1360,1307.4,1405.5,1770.5,1354,1114.9,1605.8,1272.8,1594.5,1584.4,1510.2,1596.3,1640.9,1450.5,1555.3,1608.3,1323.6,1418.6,1671.3,1513.8,1689,1723.6,1780.9,1612.1,1291.2,1657.5,1623.1,1545.7,1475.2,1488.5,1547.9,1792.4,1859.9,1241.7,1311.7,1431.4,1400.1,1554.3,1550.4,1290.9,1237,1558,1672,1642.4,1712.2,1563.2,1556.8,1449.5,1608.2,1309.6,1880.7,1842.8,1645.3,1601.6,1451.3,1783.8,1461.1,1117.3,1789.9,1337.3,1918,1475.9,1305.2,1512,1537.5,1318.1,1791.5,1534.9,1409.6,1526.8,1533.7,1121.2,910.6,1515.1,1488.7,1462.6,1388.2,1403.6,1368.9,1543.5,1300.3,1683,1679.4,1683.9,1726.4,1668.9,1801.6,1708.8,1756.8,1707.3,1764,1708.5,1559.9,1614.5,1592.6,1015.3,1743.9,1025,1011.7,1853.5,1509.8,1544.9,1583.4,1678.7,1502.4,1426.9,1338.1,1223.1,1270.5,1274.6,1415.2,1705.5,1852.2,1773.5,1271.5,1251.6,1456.1,1453.1,1458.2,1627.6,1525.2,1207.7,1485.5,1506,1547.4,1413.2,1379.6,1290.8,1621.4,1387.9,1485.2,1123.9,1154.8,1501.1,1733.9,1785,1572.8,1464.9,1753.8,1655.3,1682.7,1405.5,1305.2,1755.9,1326.8,1369.5,1176.2,1889,1795.5,1337.9,1767.7,1784.5
"41",78800,1650.1,1677.6,1538.3,1333.6,1216.5,1400.8,1313.7,1346.3,1143.2,1885.2,1672,1220.4,1236.6,1467.5,1218.1,1242,1543.3,1319.8,1516.3,1259.5,1554.4,1273.9,1246.5,1307.8,1363.6,1512.8,1705.5,1738.5,1848.1,1313.2,1357.5,1279,1505.7,1684,1581.6,1493.5,1590.7,1295.6,1377.4,1897.6,1593.5,1514.1,1254.8,1371.3,1678.9,1412.9,1245.9,1322.3,1246.2,1148.8,1337.7,1272.2,1730.7,1508.2,1334.5,1972.3,1774.7,1768.1,1907.2,1509.9,1448.7,1330.5,1569.9,1845.8,1581.2,1418,1151.7,1224.8,1325.2,1335.5,1249.8,1411.2,1725.6,1372.2,1122.4,1600.8,1209.3,1632.1,1675.4,1518.6,1568.4,1611.6,1454.5,1563.6,1615.1,1280,1467.1,1692.5,1460.6,1687.5,1677.9,1755.5,1535.7,1325.1,1634.6,1566.4,1526.6,1468.4,1429.5,1451,1814.2,1803.5,1292.8,1302.5,1496.3,1408.2,1588.8,1515.1,1308.4,1218.5,1458.6,1699.8,1721.6,1652.1,1593.9,1550.6,1486.6,1577.2,1292,1845.9,1784.4,1627.8,1629.2,1402.3,1798.2,1504.3,1128.8,1786.1,1253,1876,1509.4,1331.6,1493.3,1621.6,1366.6,1806.8,1501.6,1376.3,1576.4,1569.6,1027,937.2,1488.8,1458.8,1466.9,1419.7,1334.4,1412.6,1606.4,1358.8,1819.2,1658.2,1743.6,1797.5,1700.3,1821,1791.6,1742.8,1659.6,1807.6,1660,1536.8,1653.9,1597.7,985.1,1772.6,1012.6,1054.9,1832,1534.1,1589.7,1550.5,1644.3,1464.3,1521.2,1306.2,1258.5,1283.1,1311,1435.3,1738.7,1872.8,1784,1376,1291.4,1429.9,1481.5,1441.3,1582.7,1506.6,1250,1531.3,1519.8,1557.4,1483.9,1511.8,1337.6,1599.6,1349.8,1396.1,1176.3,1156.1,1453,1705.3,1752,1472.5,1370.6,1713.4,1733,1729.2,1444.9,1366.4,1718.8,1363.8,1281.5,1228.3,1890.4,1892.8,1306.1,1685.4,1840.1
"42",80800,1678.9,1746.9,1551.3,1331.9,1234.1,1475,1327,1378.7,1182.6,1953.7,1766.7,1229.5,1228.9,1468.3,1187.6,1260.9,1482.2,1333.4,1502.2,1277.9,1504.3,1257.8,1255.1,1277.4,1379.2,1558.1,1755.5,1681.1,1801.3,1235.8,1324.6,1217.4,1512.3,1719.3,1519.5,1494.5,1610.3,1379.5,1387.7,1842.1,1498.9,1553.1,1267.5,1425.5,1820.3,1320.3,1206,1274,1308.1,1273.2,1316.3,1284.8,1760.4,1493.6,1356.5,1934.1,1746.5,1842.8,1834,1546.9,1463.4,1388.2,1657.4,1714.6,1604,1453,1214.2,1284,1326.4,1397.5,1353.5,1372.2,1684.1,1382.9,1134.9,1637.8,1273.8,1584.8,1600.6,1541,1544.5,1622.1,1515.1,1468.3,1532.6,1291.2,1493.4,1695,1477.9,1666.8,1702.6,1789.5,1501.6,1325.2,1591.2,1635,1584.3,1378.1,1421.7,1553.4,1773.9,1853.7,1286.2,1267.8,1513.6,1436.8,1565.9,1557.5,1316.5,1205.7,1594.4,1686.1,1671.5,1724.2,1521.6,1519.4,1493.9,1627,1322.3,1898.3,1799.2,1625.1,1628.9,1374.1,1833.6,1453.9,1161.6,1823.1,1318.4,1919.5,1418.3,1302,1522.1,1590.2,1364.7,1792.2,1534.1,1372.2,1526.9,1428.9,1055.6,904.2,1475.4,1478.5,1399.8,1433.7,1432.8,1392.1,1567.1,1351,1754.7,1650.8,1790.2,1728.8,1635.2,1765.4,1775.1,1793.5,1636.5,1797.3,1716.9,1546.9,1580.8,1582.1,948,1786.6,1070.1,1026.5,1803.1,1574.3,1527.9,1539.1,1627.6,1493.9,1504.7,1358.3,1261.9,1246.1,1250.2,1468.3,1712.6,1873.6,1771.6,1337.7,1264.7,1459.2,1439.8,1479.4,1607.9,1539,1178.9,1528.9,1476.4,1558.5,1461.9,1487.7,1281.1,1579.7,1390.7,1383.1,1123.6,1173.3,1498.2,1667.8,1734.5,1547.7,1452.3,1715.6,1741.7,1736.6,1412.9,1268.2,1666.2,1272.6,1310.9,1253.7,1922.7,1808.8,1288.7,1721.3,1782.9
"43",82800,1649.1,1765.3,1538.6,1336.2,1249.3,1365.9,1298.8,1378.2,1156.5,1948.4,1702.8,1170.9,1252.4,1436.6,1204.6,1242.1,1497.6,1304.9,1509.5,1249.7,1486.9,1269.6,1340.2,1254.5,1356.5,1490.3,1784.7,1696.6,1862.8,1363,1367.6,1273.9,1542.7,1651.8,1509.4,1511.1,1565,1323.7,1358,1888.5,1573.3,1566.6,1279.3,1375.9,1746,1297.9,1345,1294.1,1262.7,1182.6,1412.8,1243.7,1710.6,1432.2,1351.8,1951.9,1826.1,1863.4,1900.8,1506.5,1450.3,1364.4,1654.8,1843.8,1592.6,1444.2,1280.4,1261.3,1270.7,1365.5,1308.3,1467,1755.8,1349.3,1147.8,1565.1,1248.6,1584.2,1727.3,1503.9,1567,1626.1,1470.3,1496.9,1612.8,1286.3,1483.7,1738,1479.8,1631.5,1744.3,1651.6,1554.2,1342.4,1622.9,1610.1,1569.8,1427.7,1492.8,1559.6,1793.3,1826.3,1243,1213,1424.8,1499.5,1519.1,1598.5,1379.8,1237.4,1490,1636.2,1613.7,1660.4,1596.8,1497.8,1482.6,1581.1,1364.6,1908.5,1839.4,1626.8,1584.4,1371,1838.6,1506.2,1190.3,1783.9,1238.3,1932.6,1430.6,1419,1473.5,1629.3,1381.4,1767.7,1534.6,1366,1547.3,1569.6,1046.5,879.6,1437.9,1505.2,1405.9,1411.6,1434.7,1363.1,1548.7,1337.1,1734.7,1705.2,1759.8,1767.3,1659.8,1772.4,1790.5,1763.1,1584.6,1799.8,1738.2,1500.5,1532.4,1497.3,947.7,1797.6,1039.5,1081.9,1784.4,1526.5,1568.7,1534,1640.5,1454.9,1531.7,1303.9,1284,1309.1,1299,1386.9,1724.4,1817.5,1803.2,1338.9,1238.2,1387.4,1400.1,1469.1,1592.1,1484.5,1160.1,1545.6,1486.4,1494.3,1443.1,1499.8,1323.7,1611.5,1323,1429.6,1233.4,1158.9,1538.3,1694.9,1744.4,1592.4,1412.1,1691.2,1671.1,1710.6,1502.9,1295.4,1690.2,1285.3,1302.5,1234.5,1889.8,1855.1,1368.3,1759.9,1802.7
