"","Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"45","Ara_ararauna","Not mentioned",1478.2,84,"Ara_ararauna","Bird","Bird(notRaptor)","No","No","No","Others"
"46","Ara_chloropterus","F",1248,19,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No","Others"
"47","Ara_chloropterus","M",1247.9,14,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No","Others"
"48","Ara_chloropterus","Not mentioned",1198.4,11,"Ara_chloropterus","Bird","Bird(notRaptor)","No","No","No","Others"
"49","Arctocephalus forsteri","F",1490.9,108,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"50","Arctocephalus forsteri","M",1513.4,141,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"51","Arctocephalus forsteri","Not mentioned",1564.5,133,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"52","Arctocephalus_forsteri2","F",1320.6,77,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"53","Arctocephalus_forsteri2","M",1386.8,77,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"54","Arctocephalus_forsteri2","Not mentioned",1400.8,74,"Arctocephalus_forsteri","Mammal","Sealion","No","Yes","No","Others"
"55","Artibeus_planirostris","F",1520.8,130,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No","Others"
"56","Artibeus_planirostris","M",1478.5,142,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No","Others"
"57","Artibeus_planirostris","Not mentioned",1494.3,118,"Artibeus_planirostris","Mammal","Chiroptera","No","No","No","Others"
"58","Asio_flammeus","F",1248.1,13,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"59","Asio_flammeus","M",1217.9,16,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"60","Asio_flammeus","Not mentioned",1132.7,2,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
