"Name","Sex","EloScore","EloRank"
"Panthera_onca_2","F",1685,182
"Panthera_onca3","F",1739,191
"Panthera_pardus","F",1733.8,198
"Panthera_pardus_3","F",1738,196
"Panthera_pardus2","F",1668.8,179
"Panthera_tigris2","F",1761.8,181
"Panthera_uncia","F",1765.3,184
"Papillon","F",1553.7,125
"Papio_hamadryas","F",1658.2,175
"Pardofelis_temminckii","F",1485.6,150
"Petroica_macrocephala","F",985.9,2
"Phacochoerus_africanus","F",1795.1,207
"Phascolarctos_cinereus","F",1112.2,4
"Phascolarctos_cinereus2","F",945.8,5
"Pholcus_phalangioides","F",1887.3,210
"Pithecia pithecia","F",1496.7,98
"Pithecia pithecia2","F",1493.1,126
"Plathyrrhinus_fusciventris","F",1543.7,118
"Podarcis_muralis","F",1645.9,166
"Pogona_vitticeps","F",1535.8,117
"Porphyrio_hochstetteri","F",1467.2,94
"Procyon_lotor","F",1287.3,28
"Propithecus_coquereli","F",1231.1,27
"Propithecus_verreauxi","F",1302.5,52
"Psittacus_erithacus","F",1290.8,43
"Pteropus_conspicillatus","F",1430.5,83
"Puma_concolor","F",1695.9,180
"Python_bivittatus","F",1811.4,199
"Python_regius","F",1814.3,201
"Rattus_norvegicus","F",1356.3,69
"Rhinopithecus_roxellana","F",1288.2,55
"Rhyticeros_cassidix","F",1403.5,93
"Romalea_microptera","F",1461.2,100
"Saiga_tatarica","F",1465.3,72
"Sarcophilus_harrisii","F",1594.4,149
"Spalax","F",1558,134
"Spheniscus_humboldti","F",1197.1,14
"Stephanoaetus_coronatus","F",1465.3,96
"Strophurus","F",1503,109
"Struthio_camelus","F",1638.8,155
"Sula_nebouxii","F",1528.4,103
"Sula_sula","F",1470.5,105
"Suricata_suricatta","F",1313.2,47
"Sus_scrofa","F",1618.5,156
"Tapirus_indicus","F",1407.3,56
"Taricha_torosa","F",1470.1,92
"Tauraco_leucotis","F",1165.6,6
"Testudo_hermanni","F",1165.1,15
"Thalassarche_cauta","F",1478.5,104
"Theropithecus_gelada","F",1690,189
"Thomisus_onustus","F",1747,178
"Tockus_flavirostris","F",1556.4,124
"Trichosurus_vulpecula","F",1438,74
"Ursus_arctos_horribilis","F",1758.2,185
"Ursus_maritimus","F",1699.2,169
"Ursus_thibetanus","F",1730.1,188
"Varecia_rubra","F",1388.5,78
"Varecia_variegata","F",1338.7,62
"Vespula_germanica","F",1693.4,163
"Vicugna_pacos","F",1334.5,40
"Vicugna_pacos2","F",1277.3,53
"Vicugna_vicugna","F",1180.2,18
"Vipera_ammodytes","F",1865.2,219
"Vipera_aspis","F",1844.6,206
"Vulpes_zerda","F",1271.9,33
"Zamenis_longissimus","F",1795.2,203
"Zoropsis_spinimana","F",1763.5,194
"Acinonyx_jubatus","M",1671,177
"Acinonyx_jubatus2","M",1647.5,179
"Acryllium_vulturinum","M",1549.6,127
"Aepyceros_melampus","M",1349.6,48
"Aepyceros_melampus2","M",1317.5,43
"Agalychnis_callidryas","M",1420.3,96
"Ailuropoda_melanoleuca","M",1345,62
"Ailurops_ursinus","M",1428.2,78
"Ailurus_fulgens","M",1273.2,22
"Alligator_mississippiensis","M",1933.4,220
"Amblyrhynchus_cristatus","M",1595.5,154
"Aonyx_cinereus","M",1193.5,11
"Aonyx_cinereus2","M",1236.2,19
"Aquila_chrysaetos","M",1461,85
"Ara_ararauna","M",1268.8,21
"Ara_chloropterus","M",1247.9,14
"Arctocephalus forsteri","M",1513.4,141
"Arctocephalus_forsteri2","M",1386.8,77
"Artibeus_planirostris","M",1478.5,142
"Asio_flammeus","M",1217.9,16
"Ateles_hybridus","M",1517.9,137
"Ateles_paniscus","M",1297.4,33
"Athene_noctua","M",1305.6,31
"Athene_noctua2","M",1243.8,26
"Athene_noctua3","M",1338.6,39
"Balaeniceps_rex","M",1539.8,163
"Bison_bonasus","M",1728.6,199
"Bison_bonasus2","M",1744.5,190
"Boa_constrictor","M",1804.6,209
"Bubo_bubo","M",1288.2,51
"Bubo_bubo2","M",1356.5,53
"Bubo_scandiacus","M",1282.2,42
"Bufonidae","M",1485.2,125
"Buprestidae","M",1582.7,151
"Buteo_galapagoensis","M",1496.1,112
"Cairina_moschata","M",1485.2,144
"Calliphora_vomitoria","M",1561.2,118
"Callithrix_argentata","M",1368.5,60
"Callithrix_penicillata","M",1329.9,69
"Calloselasma rhodostoma","M",1897.9,218
"Canis_lupus","M",1620.4,149
"Canis_lupus_familiaris","M",1616.8,161
"Canis_lupus_familiaris2","M",1339.2,40
"Carlito_syrichta","M",1331.7,59
"Centurio_senex","M",1689.1,167
"Cerdocyon_thous","M",1390.6,71
"Chelonoidis_porteri","M",1263.5,34
"Choloepus_didactylus","M",1312.9,17
"Choloepus_didactylus2","M",1263,23
"Choloepus_didactylus3","M",1276.8,13
"Chroicocephalus_scopulinus","M",1360.1,55
"Columba_livia","M",1292,18
"Conolophus_pallidus","M",1605.7,160
"Corvus","M",1455.7,107
"Corvus2","M",1382.8,79
"Crocodylus_porosus","M",1963.3,221
"Crocuta_crocuta","M",1783.9,195
"Crotalus_atrox","M",1865.4,212
"Crotalus2","M",1872.4,214
"Cryptoprocto _ferox","M",1574.3,139
"Cynictis_penicillata","M",1437,106
"Dasypus_novemcinctus","M",1354.3,54
"Daubentonia_madagascariensis","M",1567.3,135
"Dendroaspis_angusticeps","M",1782,215
"Desmodus_rotondus","M",1574.7,121
"Didelphis_virginiana","M",1437.3,98
"Equus_caballus","M",1228,36
"Eudyptes chrysolophus","M",1265.7,24
"Eudyptes_chrysocome","M",1244.2,52
"Eulemur _coronatus","M",1345.3,49
"Eulemur _coronatus2","M",1306,67
"Euphractus _sexcinctus","M",1421.9,58
"Evarcha_arcuata","M",1635.8,165
"Felis_catus","M",1511.1,66
"Felis_silvestris","M",1257.7,10
"Geronticus_eremita","M",1500.5,132
"Giraffa_camelopardalis_reticulata","M",1267.6,41
"Gorilla_Gorilla_Beringei","M",1599.7,173
"Gorilla_gorilla_gorilla","M",1712.5,175
"Gulo_gulo","M",1560.4,147
"Gulo_gulo2","M",1648.7,171
"Gymnogyps_californianus","M",1654.9,150
"Gypaetus_barbatus","M",1488.4,72
"Gypaetus_barbatus2","M",1472.8,74
"Gyps_rueppelli","M",1574.2,128
"Haematopus_ater","M",1235.1,20
"Harpia_Harpyja","M",1432.2,108
"Helarctos_malayanus","M",1680.6,164
"Hemicentetes_semispinosus","M",1464,92
"Heterocephalus_glaber","M",1641.9,155
"Hippopotamus_amphibius","M",1809.3,184
"Hyaena_hyaena","M",1747.3,185
"Hyles_euphorbiae","M",1493.3,86
"Hylobates_agilis","M",1253.7,45
"Hypsignathus_monstrosus","M",1614.9,157
"Iguana_iguana","M",1559.8,156
"Iguana_iguana2","M",1570.4,136
"Incilius_alvarius","M",1447.6,73
"Incilius_alvarius2","M",1466.1,101
"Intellagama_lesueurii","M",1505.5,117
"Laticauda_laticaudata","M",1776.9,202
"Laticauda_saintgironsi","M",1778.9,211
"Lemur_catta","M",1271.4,27
"Lemur_catta2","M",1291.4,29
"Leopardus_wiedii","M",1448.2,68
"Leptailurus_serval","M",1429,88
"Leptoptilos_crumenifer","M",1514.7,109
"Libellula_quadrimaculata","M",1493.6,94
"Litoria_infrafrenata","M",1352.3,38
"Loris_tardigradus","M",1154.6,8
"Loxodonta_africana","M",1602.1,146
"Lycaon_pictus","M",1678.2,180
"Lycaon_pictus2","M",1710,176
"Lynx_rufus","M",1638.5,159
"Lynx_rufus2","M",1613,140
"Macaca_fuscata","M",1567.6,134
"Macaca_silenus","M",1505.7,119
"Macronectes_halli","M",1493.9,123
"Macropus_rufogriseus","M",1403.5,70
"Malayopython_reticulatus","M",1842.2,213
"Malpolon_monspessulanus","M",1737.2,188
"Mandrillus_sphinx","M",1595.7,169
"Mandrillus_sphinx2","M",1587.8,158
"Miopithecus_ogouensis","M",1452.3,81
"Morelia_spilota","M",1777,191
"Mungos_mungo","M",1515.3,130
"Muscardinus_avellanarius","M",1194.7,7
