"Name","Sex","EloScore","EloRank"
"Sarcophilus_harrisii","Not mentioned",1774.6,214
"Spalax","Not mentioned",1254.7,22
"Spheniscus_humboldti","Not mentioned",1183.9,3
"Stephanoaetus_coronatus","Not mentioned",1575.3,122
"Strophurus","Not mentioned",1308.1,32
"Struthio_camelus","Not mentioned",1631.2,162
"Sula_nebouxii","Not mentioned",1445.7,94
"Sula_sula","Not mentioned",1482.4,114
"Suricata_suricatta","Not mentioned",1324.9,39
"Sus_scrofa","Not mentioned",1543.6,139
"Tapirus_indicus","Not mentioned",1486,81
"Taricha_torosa","Not mentioned",1486.8,108
"Tauraco_leucotis","Not mentioned",1255.6,9
"Testudo_hermanni","Not mentioned",1330.1,28
"Thalassarche_cauta","Not mentioned",1556.5,138
"Theropithecus_gelada","Not mentioned",1638.6,164
"Thomisus_onustus","Not mentioned",1717.6,197
"Tockus_flavirostris","Not mentioned",1424.7,115
"Trichosurus_vulpecula","Not mentioned",1471.4,96
"Ursus_arctos_horribilis","Not mentioned",1768.7,196
"Ursus_maritimus","Not mentioned",1716.1,195
"Ursus_thibetanus","Not mentioned",1697.7,191
"Varecia_rubra","Not mentioned",1550.4,136
"Varecia_variegata","Not mentioned",1425.5,77
"Vespula_germanica","Not mentioned",1607.2,166
"Vicugna_pacos","Not mentioned",1198.3,10
"Vicugna_pacos2","Not mentioned",1449.5,85
"Vicugna_vicugna","Not mentioned",1416.2,66
"Vipera_ammodytes","Not mentioned",1880.5,221
"Vipera_aspis","Not mentioned",1882.2,220
"Vulpes_zerda","Not mentioned",1255.3,19
"Zamenis_longissimus","Not mentioned",1647.4,169
"Zoropsis_spinimana","Not mentioned",1487.5,127
