"name","F","M","Not mentioned","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Corvus2",1372.1,1337.4,1346.7,"Corvus","Bird","Bird(notRaptor)","No","No","No"
"Crocodylus_porosus",2005.7,1906.1,1704.9,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Crocuta_crocuta",1714.4,1889.8,1745.1,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Crotalus_atrox",1844.4,1843.6,1697.7,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus2",1881.3,1850.8,1646.9,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Cryptoprocto _ferox",1517.6,1511.4,1523.3,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cynictis_penicillata",1376.7,1458.5,1468,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Dasypus_novemcinctus",1367.2,1410.1,1247.3,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Daubentonia_madagascariensis",1626.9,1570.8,1497,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Dendroaspis_angusticeps",1831,1827.9,1729.7,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Desmodus_rotondus",1602.3,1592,1471.3,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Didelphis_virginiana",1376.8,1433.2,1599,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Equus_caballus",1200,1305.1,1377.5,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Eudyptes chrysolophus",1255.4,1246.1,1245.9,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No"
"Eudyptes_chrysocome",1258.4,1296.4,1567.8,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No"
"Eulemur _coronatus",1381.8,1369.2,1498.9,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2",1279.3,1296.7,1331.2,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Euphractus _sexcinctus",1386.8,1359.7,1478.7,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Evarcha_arcuata",1765.1,1722.4,1458.8,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Felis_catus",1395,1466.4,1336.2,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_silvestris",1147.6,1176.3,1057.7,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Geronticus_eremita",1608,1568.2,1671.4,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No"
"Giraffa_camelopardalis_reticulata",1161,1265.8,1343.1,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Gorilla_Gorilla_Beringei",1620.9,1707.7,1642.1,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla",1669.4,1686.1,1476.2,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gulo_gulo",1513.7,1580.9,1565.1,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2",1601.2,1674,1479.3,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gymnogyps_californianus",1646.1,1574.4,1566.7,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gypaetus_barbatus",1505.7,1472.1,1396.4,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2",1501.7,1422.8,1639,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli",1577.3,1573.2,1546.9,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Haematopus_ater",1287.6,1339.7,1417.9,"Haematopus_ater","Bird","Bird(notRaptor)","No","Yes","No"
"Harpia_Harpyja",1419.5,1418.2,1295.3,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Helarctos_malayanus",1655.3,1681.4,1697.1,"Helarctos_malayanus","Mammal","Ursus","No","No","No"
"Hemicentetes_semispinosus",1491.3,1437.6,1489.1,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"Heterocephalus_glaber",1752,1572.8,1565.5,"Heterocephalus_glaber","Mammal","Rodent","No","No","No"
"Hippopotamus_amphibius",1743.1,1800.6,1626.3,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"Hyaena_hyaena",1754.7,1763.3,1626.7,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"Hyles_euphorbiae",1478.5,1534.9,1387.1,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"Hylobates_agilis",1330.1,1336.8,1425.1,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Hypsignathus_monstrosus",1605.2,1630.5,1552.1,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"Iguana_iguana",1634.5,1590.2,1425.3,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Iguana_iguana2",1519.3,1564.3,1482.4,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Incilius_alvarius",1463.1,1447.6,1350.4,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Incilius_alvarius2",1510.7,1405.5,1523.9,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Intellagama_lesueurii",1584.8,1546.9,1602.8,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Laticauda_laticaudata",1905.4,1733.8,1678.5,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"Laticauda_saintgironsi",1893.9,1816.5,1631.6,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"Lemur_catta",1277.9,1269,1336.4,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Lemur_catta2",1319.6,1322.3,1483.6,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Leopardus_wiedii",1438.9,1419.8,1564.1,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Leptailurus_serval",1411.2,1440.8,1418.8,"Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"Leptoptilos_crumenifer",1548.7,1480.9,1484.4,"Leptoptilos_crumenifer","Bird","Bird(notRaptor)","No","No","No"
"Libellula_quadrimaculata",1517.1,1498,1605.2,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"Litoria_infrafrenata",1261.5,1257.8,1444,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Loris_tardigradus",1229.3,1182.2,1239.5,"Loris_tardigradus","Mammal","Primate","No","No","No"
"Loxodonta_africana",1472.5,1541.7,1504.4,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Lycaon_pictus",1736.4,1723.8,1662.3,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lycaon_pictus2",1651,1751.3,1678.9,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lynx_rufus",1612.7,1596.6,1739.8,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Lynx_rufus2",1564.4,1508.3,1559,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Macaca_fuscata",1548.8,1509.3,1535,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
"Macaca_silenus",1467.2,1500.6,1457.9,"Macaca_silenus","Mammal","Primate","No","Yes","No"
"Macronectes_halli",1535.3,1519.3,1596.5,"Macronectes_halli","Bird","Bird(notRaptor)","No","No","No"
"Macropus_rufogriseus",1312,1350.1,1378.4,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Malayopython_reticulatus",1916.5,1867.6,1794.2,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"Malpolon_monspessulanus",1838.6,1695.1,1625.2,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"Mandrillus_sphinx",1672,1647.5,1790.1,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Mandrillus_sphinx2",1638.5,1637.6,1546,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Miopithecus_ogouensis",1383.5,1411.4,1456.5,"Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"Morelia_spilota",1747.9,1787.1,1642.6,"Morelia_spilota","Squamata","Snake","No","Yes","No"
"Mungos_mungo",1449.3,1482.3,1631.4,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Muscardinus_avellanarius",1121.1,1150.5,1275.2,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Mygale",1827.5,1794.4,1767.6,"Mygale","Spider","Spider","No","Yes","No"
"Myocastor_coypus",1282.7,1359.3,1224.2,"Myocastor_coypus","Mammal","Rodent","No","No","No"
"Naja_naja",1909.5,1901.8,1742.9,"Naja_naja","Squamata","Snake","No","Yes","Yes"
"Nasua_narica",1431.4,1448.6,1670.7,"Nasua_narica","Mammal","Procyonide","No","No","No"
"Nasua_nasua",1354.6,1421.3,1425.9,"Nasua_nasua","Mammal","Procyonide","No","No","No"
