"name","variable","value"
"Podarcis_muralis","F",1645.9
"Pogona_vitticeps","F",1535.8
"Porphyrio_hochstetteri","F",1467.2
"Procyon_lotor","F",1287.3
"Propithecus_coquereli","F",1231.1
"Propithecus_verreauxi","F",1302.5
"Psittacus_erithacus","F",1290.8
"Pteropus_conspicillatus","F",1430.5
"Puma_concolor","F",1695.9
"Python_bivittatus","F",1811.4
"Python_regius","F",1814.3
"Rattus_norvegicus","F",1356.3
"Rhinopithecus_roxellana","F",1288.2
"Rhyticeros_cassidix","F",1403.5
"Romalea_microptera","F",1461.2
"Saiga_tatarica","F",1465.3
"Sarcophilus_harrisii","F",1594.4
"Spalax","F",1558
"Spheniscus_humboldti","F",1197.1
"Stephanoaetus_coronatus","F",1465.3
"Strophurus","F",1503
"Struthio_camelus","F",1638.8
"Sula_nebouxii","F",1528.4
"Sula_sula","F",1470.5
"Suricata_suricatta","F",1313.2
"Sus_scrofa","F",1618.5
"Tapirus_indicus","F",1407.3
"Taricha_torosa","F",1470.1
"Tauraco_leucotis","F",1165.6
"Testudo_hermanni","F",1165.1
"Thalassarche_cauta","F",1478.5
"Theropithecus_gelada","F",1690
"Thomisus_onustus","F",1747
"Tockus_flavirostris","F",1556.4
"Trichosurus_vulpecula","F",1438
"Ursus_arctos_horribilis","F",1758.2
"Ursus_maritimus","F",1699.2
"Ursus_thibetanus","F",1730.1
"Varecia_rubra","F",1388.5
"Varecia_variegata","F",1338.7
"Vespula_germanica","F",1693.4
"Vicugna_pacos","F",1334.5
"Vicugna_pacos2","F",1277.3
"Vicugna_vicugna","F",1180.2
"Vipera_ammodytes","F",1865.2
"Vipera_aspis","F",1844.6
"Vulpes_zerda","F",1271.9
"Zamenis_longissimus","F",1795.2
"Zoropsis_spinimana","F",1763.5
"Acinonyx_jubatus","M",1671
"Acinonyx_jubatus2","M",1647.5
"Acryllium_vulturinum","M",1549.6
"Aepyceros_melampus","M",1349.6
"Aepyceros_melampus2","M",1317.5
"Agalychnis_callidryas","M",1420.3
"Ailuropoda_melanoleuca","M",1345
"Ailurops_ursinus","M",1428.2
"Ailurus_fulgens","M",1273.2
"Alligator_mississippiensis","M",1933.4
"Amblyrhynchus_cristatus","M",1595.5
"Aonyx_cinereus","M",1193.5
"Aonyx_cinereus2","M",1236.2
"Aquila_chrysaetos","M",1461
"Ara_ararauna","M",1268.8
"Ara_chloropterus","M",1247.9
"Arctocephalus forsteri","M",1513.4
"Arctocephalus_forsteri2","M",1386.8
"Artibeus_planirostris","M",1478.5
"Asio_flammeus","M",1217.9
"Ateles_hybridus","M",1517.9
"Ateles_paniscus","M",1297.4
"Athene_noctua","M",1305.6
"Athene_noctua2","M",1243.8
"Athene_noctua3","M",1338.6
"Balaeniceps_rex","M",1539.8
"Bison_bonasus","M",1728.6
"Bison_bonasus2","M",1744.5
"Boa_constrictor","M",1804.6
"Bubo_bubo","M",1288.2
"Bubo_bubo2","M",1356.5
"Bubo_scandiacus","M",1282.2
"Bufonidae","M",1485.2
"Buprestidae","M",1582.7
"Buteo_galapagoensis","M",1496.1
"Cairina_moschata","M",1485.2
"Calliphora_vomitoria","M",1561.2
"Callithrix_argentata","M",1368.5
"Callithrix_penicillata","M",1329.9
"Calloselasma rhodostoma","M",1897.9
"Canis_lupus","M",1620.4
"Canis_lupus_familiaris","M",1616.8
"Canis_lupus_familiaris2","M",1339.2
"Carlito_syrichta","M",1331.7
"Centurio_senex","M",1689.1
"Cerdocyon_thous","M",1390.6
"Chelonoidis_porteri","M",1263.5
"Choloepus_didactylus","M",1312.9
"Choloepus_didactylus2","M",1263
"Choloepus_didactylus3","M",1276.8
"Chroicocephalus_scopulinus","M",1360.1
"Columba_livia","M",1292
"Conolophus_pallidus","M",1605.7
"Corvus","M",1455.7
"Corvus2","M",1382.8
"Crocodylus_porosus","M",1963.3
"Crocuta_crocuta","M",1783.9
"Crotalus_atrox","M",1865.4
"Crotalus2","M",1872.4
"Cryptoprocto _ferox","M",1574.3
"Cynictis_penicillata","M",1437
"Dasypus_novemcinctus","M",1354.3
"Daubentonia_madagascariensis","M",1567.3
"Dendroaspis_angusticeps","M",1782
"Desmodus_rotondus","M",1574.7
"Didelphis_virginiana","M",1437.3
"Equus_caballus","M",1228
"Eudyptes chrysolophus","M",1265.7
"Eudyptes_chrysocome","M",1244.2
"Eulemur _coronatus","M",1345.3
"Eulemur _coronatus2","M",1306
"Euphractus _sexcinctus","M",1421.9
"Evarcha_arcuata","M",1635.8
"Felis_catus","M",1511.1
"Felis_silvestris","M",1257.7
"Geronticus_eremita","M",1500.5
"Giraffa_camelopardalis_reticulata","M",1267.6
"Gorilla_Gorilla_Beringei","M",1599.7
"Gorilla_gorilla_gorilla","M",1712.5
"Gulo_gulo","M",1560.4
"Gulo_gulo2","M",1648.7
"Gymnogyps_californianus","M",1654.9
"Gypaetus_barbatus","M",1488.4
"Gypaetus_barbatus2","M",1472.8
"Gyps_rueppelli","M",1574.2
"Haematopus_ater","M",1235.1
"Harpia_Harpyja","M",1432.2
"Helarctos_malayanus","M",1680.6
"Hemicentetes_semispinosus","M",1464
"Heterocephalus_glaber","M",1641.9
"Hippopotamus_amphibius","M",1809.3
"Hyaena_hyaena","M",1747.3
"Hyles_euphorbiae","M",1493.3
"Hylobates_agilis","M",1253.7
"Hypsignathus_monstrosus","M",1614.9
"Iguana_iguana","M",1559.8
"Iguana_iguana2","M",1570.4
"Incilius_alvarius","M",1447.6
"Incilius_alvarius2","M",1466.1
"Intellagama_lesueurii","M",1505.5
"Laticauda_laticaudata","M",1776.9
"Laticauda_saintgironsi","M",1778.9
"Lemur_catta","M",1271.4
"Lemur_catta2","M",1291.4
"Leopardus_wiedii","M",1448.2
"Leptailurus_serval","M",1429
"Leptoptilos_crumenifer","M",1514.7
"Libellula_quadrimaculata","M",1493.6
"Litoria_infrafrenata","M",1352.3
"Loris_tardigradus","M",1154.6
"Loxodonta_africana","M",1602.1
"Lycaon_pictus","M",1678.2
"Lycaon_pictus2","M",1710
"Lynx_rufus","M",1638.5
"Lynx_rufus2","M",1613
"Macaca_fuscata","M",1567.6
"Macaca_silenus","M",1505.7
"Macronectes_halli","M",1493.9
"Macropus_rufogriseus","M",1403.5
"Malayopython_reticulatus","M",1842.2
"Malpolon_monspessulanus","M",1737.2
"Mandrillus_sphinx","M",1595.7
"Mandrillus_sphinx2","M",1587.8
"Miopithecus_ogouensis","M",1452.3
"Morelia_spilota","M",1777
"Mungos_mungo","M",1515.3
"Muscardinus_avellanarius","M",1194.7
"Mygale","M",1805.7
"Myocastor_coypus","M",1311
"Naja_naja","M",1935.1
"Nasua_narica","M",1351.1
"Nasua_nasua","M",1386.1
"Necrosyrtes_monachus","M",1580.3
"Neofelis_nebulosa","M",1634.3
"Nestor_meridionalis","M",1335.9
"Notechis_scutatus","M",1862.9
"Numida_meleagris","M",1479.9
"Nyctereutes_procyonoides","M",1313.5
"Odonata","M",1499.5
"Odonata2","M",1446.7
"Oryctolagus_cuniculus","M",1074.9
"Oryctolagus_cuniculus2","M",902.5
"Otocolobus_manul","M",1529.7
"Pamphagidae","M",1428.8
"Pan_paniscus","M",1457
"Pan_paniscus2","M",1468.5
"Pan_paniscus3","M",1442
"Pan_paniscus4","M",1445.8
"Pan_troglodytes","M",1521.1
"Pan_troglodytes2","M",1389.8
"Panthera_leo","M",1805.2
"Panthera_leo2","M",1788.5
"Panthera_leo3","M",1815.1
"Panthera_onca","M",1795.1
"Panthera_onca_2","M",1741.4
"Panthera_onca3","M",1902.4
"Panthera_pardus","M",1736.6
"Panthera_pardus_3","M",1708.7
"Panthera_pardus2","M",1690.2
"Panthera_tigris2","M",1832.9
"Panthera_uncia","M",1767
"Papillon","M",1479.7
"Papio_hamadryas","M",1612.5
"Pardofelis_temminckii","M",1584.7
"Petroica_macrocephala","M",1036.6
"Phacochoerus_africanus","M",1783.3
"Phascolarctos_cinereus","M",1076.6
"Phascolarctos_cinereus2","M",1078.1
"Pholcus_phalangioides","M",1783.3
