"name","F","M","Not mentioned"
"Malpolon_monspessulanus",1838.6,1695.1,1625.2
"Mandrillus_sphinx",1672,1647.5,1790.1
"Mandrillus_sphinx2",1638.5,1637.6,1546
"Miopithecus_ogouensis",1383.5,1411.4,1456.5
"Morelia_spilota",1747.9,1787.1,1642.6
"Mungos_mungo",1449.3,1482.3,1631.4
"Muscardinus_avellanarius",1121.1,1150.5,1275.2
"Mygale",1827.5,1794.4,1767.6
"Myocastor_coypus",1282.7,1359.3,1224.2
"Naja_naja",1909.5,1901.8,1742.9
"Nasua_narica",1431.4,1448.6,1670.7
"Nasua_nasua",1354.6,1421.3,1425.9
"Necrosyrtes_monachus",1603.1,1548.9,1409.3
"Neofelis_nebulosa",1664.4,1628.6,1626.6
"Nestor_meridionalis",1327.1,1308.6,1337.1
"Notechis_scutatus",1881,1792.5,1727.4
"Numida_meleagris",1549.2,1468.8,1585.7
"Nyctereutes_procyonoides",1333.3,1378.1,1453.9
"Odonata",1532.8,1480.3,1492.7
"Odonata2",1603.2,1553.9,1378.2
"Oryctolagus_cuniculus",994.8,1086.6,1172.7
"Oryctolagus_cuniculus2",968.2,921.7,1220.4
"Otocolobus_manul",1452.7,1400.8,1441.6
"Pamphagidae",1478.2,1408.3,1388.7
"Pan_paniscus",1449,1512.5,1483
"Pan_paniscus2",1402,1463.4,1666.4
"Pan_paniscus3",1421.5,1403.8,1493.3
"Pan_paniscus4",1406.6,1402.6,1417.3
"Pan_troglodytes",1535.5,1546.4,1596.1
"Pan_troglodytes2",1352.3,1425.4,1434.1
"Panthera_leo",1761.6,1835.9,1648.7
"Panthera_leo2",1698.8,1728.4,1731.4
"Panthera_leo3",1756.1,1772.8,1615.8
"Panthera_onca",1780.1,1768.7,1722.6
"Panthera_onca_2",1665.3,1795.3,1780.4
"Panthera_onca3",1749.5,1863.4,1816.1
"Panthera_pardus",1700,1800.1,1752.8
"Panthera_pardus_3",1748.7,1816.6,1637.4
"Panthera_pardus2",1671,1792.9,1671
"Panthera_tigris2",1752.5,1842,1638.5
"Panthera_uncia",1703.2,1734.2,1699.9
"Papillon",1594.9,1565.5,1424
"Papio_hamadryas",1643.4,1644.4,1633.3
"Pardofelis_temminckii",1502.4,1605.4,1557
"Petroica_macrocephala",974.8,962.4,1198.5
"Phacochoerus_africanus",1771,1726.9,1748.2
"Phascolarctos_cinereus",1090.9,1045.4,1271.4
"Phascolarctos_cinereus2",1070.5,1131.8,1178.7
"Pholcus_phalangioides",1834,1812.8,1785.2
"Pithecia pithecia",1500.3,1553.7,1589.5
"Pithecia pithecia2",1573,1545.2,1502.6
"Plathyrrhinus_fusciventris",1576,1533.4,1407.5
"Podarcis_muralis",1592.3,1599.7,1521.8
"Pogona_vitticeps",1496.2,1414.9,1496.3
"Porphyrio_hochstetteri",1477.9,1488.7,1456
"Procyon_lotor",1352.1,1329.2,1347.3
"Propithecus_coquereli",1301.9,1228,1318.7
"Propithecus_verreauxi",1292.6,1236,1299.7
"Psittacus_erithacus",1198.1,1182.1,1454.8
"Pteropus_conspicillatus",1435.1,1419.3,1438.5
"Puma_concolor",1703.6,1775.2,1718.8
"Python_bivittatus",1844.5,1818.8,1727.2
"Python_regius",1786.4,1785.7,1663.3
"Rattus_norvegicus",1306.1,1310,1284.6
"Rhinopithecus_roxellana",1349.9,1280.2,1362.8
"Rhyticeros_cassidix",1383.2,1371,1347.6
"Romalea_microptera",1469.7,1403.3,1457.6
