"","name","F","M","Not mentioned"
"195","Sula_nebouxii",93,88,158
"196","Sula_sula",63,83,52
"197","Suricata_suricatta",46,33,68
"198","Sus_scrofa",128,159,213
"199","Tapirus_indicus",73,50,86
"200","Taricha_torosa",65,97,125
"201","Tauraco_leucotis",16,7,55
"202","Testudo_hermanni",11,5,29
"203","Thalassarche_cauta",109,86,212
"204","Theropithecus_gelada",177,214,159
"205","Thomisus_onustus",201,168,124
"206","Tockus_flavirostris",136,77,141
"207","Trichosurus_vulpecula",90,82,22
"208","Ursus_arctos_horribilis",176,204,205
"209","Ursus_maritimus",147,197,156
"210","Ursus_thibetanus",187,205,191
"211","Varecia_rubra",74,66,79
"212","Varecia_variegata",88,80,46
"213","Vespula_germanica",164,175,171
"214","Vicugna_pacos",39,69,116
"215","Vicugna_pacos2",40,36,32
"216","Vicugna_vicugna",29,25,93
"217","Vipera_ammodytes",210,206,201
"218","Vipera_aspis",207,201,206
"219","Vulpes_zerda",47,35,13
"220","Zamenis_longissimus",193,198,41
"221","Zoropsis_spinimana",184,196,140
