"name","variable","value"
"Pan_paniscus2","High school + Middle school",97
"Pan_paniscus3","High school + Middle school",107
"Pan_paniscus4","High school + Middle school",62
"Pan_troglodytes","High school + Middle school",88
"Pan_troglodytes2","High school + Middle school",78
"Panthera_leo","High school + Middle school",178
"Panthera_leo2","High school + Middle school",125
"Panthera_leo3","High school + Middle school",212
"Panthera_onca","High school + Middle school",189
"Panthera_onca_2","High school + Middle school",140
"Panthera_onca3","High school + Middle school",183
"Panthera_pardus","High school + Middle school",198
"Panthera_pardus_3","High school + Middle school",170
"Panthera_pardus2","High school + Middle school",169
"Panthera_tigris2","High school + Middle school",197
"Panthera_uncia","High school + Middle school",187
"Papillon","High school + Middle school",77
"Papio_hamadryas","High school + Middle school",94
"Pardofelis_temminckii","High school + Middle school",38
"Petroica_macrocephala","High school + Middle school",8
"Phacochoerus_africanus","High school + Middle school",158
"Phascolarctos_cinereus","High school + Middle school",23
"Phascolarctos_cinereus2","High school + Middle school",2
"Pholcus_phalangioides","High school + Middle school",216
"Pithecia pithecia","High school + Middle school",134
"Pithecia pithecia2","High school + Middle school",51
"Plathyrrhinus_fusciventris","High school + Middle school",137
"Podarcis_muralis","High school + Middle school",206
"Pogona_vitticeps","High school + Middle school",56
"Porphyrio_hochstetteri","High school + Middle school",164
"Procyon_lotor","High school + Middle school",60
"Propithecus_coquereli","High school + Middle school",5
"Propithecus_verreauxi","High school + Middle school",61
"Psittacus_erithacus","High school + Middle school",31
"Pteropus_conspicillatus","High school + Middle school",37
"Puma_concolor","High school + Middle school",157
"Python_bivittatus","High school + Middle school",186
"Python_regius","High school + Middle school",213
"Rattus_norvegicus","High school + Middle school",79
"Rhinopithecus_roxellana","High school + Middle school",16
"Rhyticeros_cassidix","High school + Middle school",143
"Romalea_microptera","High school + Middle school",70
"Saiga_tatarica","High school + Middle school",113
"Sarcophilus_harrisii","High school + Middle school",141
"Spalax","High school + Middle school",93
"Spheniscus_humboldti","High school + Middle school",30
"Stephanoaetus_coronatus","High school + Middle school",175
"Strophurus","High school + Middle school",128
"Struthio_camelus","High school + Middle school",132
"Sula_nebouxii","High school + Middle school",74
"Sula_sula","High school + Middle school",108
"Suricata_suricatta","High school + Middle school",6
"Sus_scrofa","High school + Middle school",117
"Tapirus_indicus","High school + Middle school",86
"Taricha_torosa","High school + Middle school",112
