"name","variable","value"
"Myocastor_coypus","High school + Middle school",1330.5
"Naja_naja","High school + Middle school",1693.5
"Nasua_narica","High school + Middle school",1353.8
"Nasua_nasua","High school + Middle school",1428.3
"Necrosyrtes_monachus","High school + Middle school",1670.2
"Neofelis_nebulosa","High school + Middle school",1518.3
"Nestor_meridionalis","High school + Middle school",1490.1
"Notechis_scutatus","High school + Middle school",1610.5
"Numida_meleagris","High school + Middle school",1629.6
"Nyctereutes_procyonoides","High school + Middle school",1398.2
"Odonata","High school + Middle school",1512.2
"Odonata2","High school + Middle school",1536.8
"Oryctolagus_cuniculus","High school + Middle school",1169.9
"Oryctolagus_cuniculus2","High school + Middle school",979.2
"Otocolobus_manul","High school + Middle school",1410.8
"Pamphagidae","High school + Middle school",1423.2
"Pan_paniscus","High school + Middle school",1504
"Pan_paniscus2","High school + Middle school",1461.4
"Pan_paniscus3","High school + Middle school",1473.5
"Pan_paniscus4","High school + Middle school",1399.4
"Pan_troglodytes","High school + Middle school",1421.5
"Pan_troglodytes2","High school + Middle school",1445
"Panthera_leo","High school + Middle school",1659
"Panthera_leo2","High school + Middle school",1563.1
"Panthera_leo3","High school + Middle school",1763
"Panthera_onca","High school + Middle school",1679.5
"Panthera_onca_2","High school + Middle school",1597.5
"Panthera_onca3","High school + Middle school",1651.4
"Panthera_pardus","High school + Middle school",1709.2
"Panthera_pardus_3","High school + Middle school",1615.9
"Panthera_pardus2","High school + Middle school",1632.1
"Panthera_tigris2","High school + Middle school",1684.3
"Panthera_uncia","High school + Middle school",1646.1
"Papillon","High school + Middle school",1444.8
"Papio_hamadryas","High school + Middle school",1464.3
"Pardofelis_temminckii","High school + Middle school",1310.8
"Petroica_macrocephala","High school + Middle school",1190.4
"Phacochoerus_africanus","High school + Middle school",1604.4
"Phascolarctos_cinereus","High school + Middle school",1283.5
"Phascolarctos_cinereus2","High school + Middle school",1102.5
"Pholcus_phalangioides","High school + Middle school",1833.3
"Pithecia pithecia","High school + Middle school",1550.5
"Pithecia pithecia2","High school + Middle school",1351.8
"Plathyrrhinus_fusciventris","High school + Middle school",1563.6
"Podarcis_muralis","High school + Middle school",1753.9
"Pogona_vitticeps","High school + Middle school",1401.8
"Porphyrio_hochstetteri","High school + Middle school",1605
"Procyon_lotor","High school + Middle school",1452.7
"Propithecus_coquereli","High school + Middle school",1170.4
"Propithecus_verreauxi","High school + Middle school",1396.9
"Psittacus_erithacus","High school + Middle school",1337
"Pteropus_conspicillatus","High school + Middle school",1318.2
"Puma_concolor","High school + Middle school",1582.3
"Python_bivittatus","High school + Middle school",1705.7
"Python_regius","High school + Middle school",1799.2
"Rattus_norvegicus","High school + Middle school",1391.8
"Rhinopithecus_roxellana","High school + Middle school",1254.1
"Rhyticeros_cassidix","High school + Middle school",1571.6
"Romalea_microptera","High school + Middle school",1375.3
"Saiga_tatarica","High school + Middle school",1514.7
"Sarcophilus_harrisii","High school + Middle school",1588.6
"Spalax","High school + Middle school",1438
"Spheniscus_humboldti","High school + Middle school",1290.5
"Stephanoaetus_coronatus","High school + Middle school",1615.9
"Strophurus","High school + Middle school",1560.3
"Struthio_camelus","High school + Middle school",1513.9
"Sula_nebouxii","High school + Middle school",1416.9
"Sula_sula","High school + Middle school",1469
"Suricata_suricatta","High school + Middle school",1178.8
"Sus_scrofa","High school + Middle school",1550.8
"Tapirus_indicus","High school + Middle school",1452.9
"Taricha_torosa","High school + Middle school",1537.2
"Tauraco_leucotis","High school + Middle school",1301
"Testudo_hermanni","High school + Middle school",1347.6
"Thalassarche_cauta","High school + Middle school",1564.7
"Theropithecus_gelada","High school + Middle school",1728.7
"Thomisus_onustus","High school + Middle school",1583.6
"Tockus_flavirostris","High school + Middle school",1589.8
"Trichosurus_vulpecula","High school + Middle school",1499.6
"Ursus_arctos_horribilis","High school + Middle school",1690.8
"Ursus_maritimus","High school + Middle school",1546.5
"Ursus_thibetanus","High school + Middle school",1594.3
"Varecia_rubra","High school + Middle school",1541.3
"Varecia_variegata","High school + Middle school",1392.2
"Vespula_germanica","High school + Middle school",1640
"Vicugna_pacos","High school + Middle school",1314
"Vicugna_pacos2","High school + Middle school",1294.8
"Vicugna_vicugna","High school + Middle school",1310.6
"Vipera_ammodytes","High school + Middle school",1649.9
