"Name","Academic","EloScore","EloRank"
"Macropus_rufogriseus","High school + Middle school",1450.7,87
"Malayopython_reticulatus","High school + Middle school",1755.7,205
"Malpolon_monspessulanus","High school + Middle school",1720.1,184
"Mandrillus_sphinx","High school + Middle school",1565.5,147
"Mandrillus_sphinx2","High school + Middle school",1496.7,95
"Miopithecus_ogouensis","High school + Middle school",1346.9,50
"Morelia_spilota","High school + Middle school",1725.7,204
"Mungos_mungo","High school + Middle school",1476.2,91
"Muscardinus_avellanarius","High school + Middle school",1184.8,9
"Mygale","High school + Middle school",1848.8,220
"Myocastor_coypus","High school + Middle school",1330.5,41
"Naja_naja","High school + Middle school",1693.5,202
"Nasua_narica","High school + Middle school",1353.8,40
"Nasua_nasua","High school + Middle school",1428.3,73
"Necrosyrtes_monachus","High school + Middle school",1670.2,190
"Neofelis_nebulosa","High school + Middle school",1518.3,136
"Nestor_meridionalis","High school + Middle school",1490.1,111
"Notechis_scutatus","High school + Middle school",1610.5,177
"Numida_meleagris","High school + Middle school",1629.6,153
"Nyctereutes_procyonoides","High school + Middle school",1398.2,64
"Odonata","High school + Middle school",1512.2,100
"Odonata2","High school + Middle school",1536.8,142
"Oryctolagus_cuniculus","High school + Middle school",1169.9,4
"Oryctolagus_cuniculus2","High school + Middle school",979.2,1
"Otocolobus_manul","High school + Middle school",1410.8,49
"Pamphagidae","High school + Middle school",1423.2,71
"Pan_paniscus","High school + Middle school",1504,104
"Pan_paniscus2","High school + Middle school",1461.4,97
"Pan_paniscus3","High school + Middle school",1473.5,107
"Pan_paniscus4","High school + Middle school",1399.4,62
"Pan_troglodytes","High school + Middle school",1421.5,88
"Pan_troglodytes2","High school + Middle school",1445,78
"Panthera_leo","High school + Middle school",1659,178
"Panthera_leo2","High school + Middle school",1563.1,125
"Panthera_leo3","High school + Middle school",1763,212
"Panthera_onca","High school + Middle school",1679.5,189
"Panthera_onca_2","High school + Middle school",1597.5,140
"Panthera_onca3","High school + Middle school",1651.4,183
"Panthera_pardus","High school + Middle school",1709.2,198
"Panthera_pardus_3","High school + Middle school",1615.9,170
"Panthera_pardus2","High school + Middle school",1632.1,169
"Panthera_tigris2","High school + Middle school",1684.3,197
"Panthera_uncia","High school + Middle school",1646.1,187
"Papillon","High school + Middle school",1444.8,77
"Papio_hamadryas","High school + Middle school",1464.3,94
"Pardofelis_temminckii","High school + Middle school",1310.8,38
"Petroica_macrocephala","High school + Middle school",1190.4,8
"Phacochoerus_africanus","High school + Middle school",1604.4,158
"Phascolarctos_cinereus","High school + Middle school",1283.5,23
"Phascolarctos_cinereus2","High school + Middle school",1102.5,2
"Pholcus_phalangioides","High school + Middle school",1833.3,216
"Pithecia pithecia","High school + Middle school",1550.5,134
"Pithecia pithecia2","High school + Middle school",1351.8,51
"Plathyrrhinus_fusciventris","High school + Middle school",1563.6,137
"Podarcis_muralis","High school + Middle school",1753.9,206
"Pogona_vitticeps","High school + Middle school",1401.8,56
"Porphyrio_hochstetteri","High school + Middle school",1605,164
"Procyon_lotor","High school + Middle school",1452.7,60
"Propithecus_coquereli","High school + Middle school",1170.4,5
"Propithecus_verreauxi","High school + Middle school",1396.9,61
"Psittacus_erithacus","High school + Middle school",1337,31
"Pteropus_conspicillatus","High school + Middle school",1318.2,37
"Puma_concolor","High school + Middle school",1582.3,157
"Python_bivittatus","High school + Middle school",1705.7,186
"Python_regius","High school + Middle school",1799.2,213
"Rattus_norvegicus","High school + Middle school",1391.8,79
"Rhinopithecus_roxellana","High school + Middle school",1254.1,16
"Rhyticeros_cassidix","High school + Middle school",1571.6,143
"Romalea_microptera","High school + Middle school",1375.3,70
"Saiga_tatarica","High school + Middle school",1514.7,113
"Sarcophilus_harrisii","High school + Middle school",1588.6,141
"Spalax","High school + Middle school",1438,93
"Spheniscus_humboldti","High school + Middle school",1290.5,30
"Stephanoaetus_coronatus","High school + Middle school",1615.9,175
"Strophurus","High school + Middle school",1560.3,128
"Struthio_camelus","High school + Middle school",1513.9,132
"Sula_nebouxii","High school + Middle school",1416.9,74
"Sula_sula","High school + Middle school",1469,108
"Suricata_suricatta","High school + Middle school",1178.8,6
"Sus_scrofa","High school + Middle school",1550.8,117
"Tapirus_indicus","High school + Middle school",1452.9,86
"Taricha_torosa","High school + Middle school",1537.2,112
"Tauraco_leucotis","High school + Middle school",1301,25
"Testudo_hermanni","High school + Middle school",1347.6,43
"Thalassarche_cauta","High school + Middle school",1564.7,146
"Theropithecus_gelada","High school + Middle school",1728.7,209
"Thomisus_onustus","High school + Middle school",1583.6,145
"Tockus_flavirostris","High school + Middle school",1589.8,139
"Trichosurus_vulpecula","High school + Middle school",1499.6,115
"Ursus_arctos_horribilis","High school + Middle school",1690.8,185
"Ursus_maritimus","High school + Middle school",1546.5,124
"Ursus_thibetanus","High school + Middle school",1594.3,148
"Varecia_rubra","High school + Middle school",1541.3,122
"Varecia_variegata","High school + Middle school",1392.2,46
"Vespula_germanica","High school + Middle school",1640,192
"Vicugna_pacos","High school + Middle school",1314,32
"Vicugna_pacos2","High school + Middle school",1294.8,35
"Vicugna_vicugna","High school + Middle school",1310.6,33
"Vipera_ammodytes","High school + Middle school",1649.9,166
"Vipera_aspis","High school + Middle school",1776.2,207
"Vulpes_zerda","High school + Middle school",1386.9,72
"Zamenis_longissimus","High school + Middle school",1663.7,195
"Zoropsis_spinimana","High school + Middle school",1718.4,199
"Acinonyx_jubatus","High school diploma",1604,144
"Acinonyx_jubatus2","High school diploma",1771.8,203
"Acryllium_vulturinum","High school diploma",1581.5,134
"Aepyceros_melampus","High school diploma",1235.5,18
"Aepyceros_melampus2","High school diploma",1241.7,27
"Agalychnis_callidryas","High school diploma",1491.6,105
"Ailuropoda_melanoleuca","High school diploma",1280.4,43
"Ailurops_ursinus","High school diploma",1213.8,29
"Ailurus_fulgens","High school diploma",1247.7,35
"Alligator_mississippiensis","High school diploma",2013.6,221
"Amblyrhynchus_cristatus","High school diploma",1583.8,159
"Aonyx_cinereus","High school diploma",1233.9,17
"Aonyx_cinereus2","High school diploma",1212.6,14
"Aquila_chrysaetos","High school diploma",1568.5,149
"Ara_ararauna","High school diploma",1277.1,32
"Ara_chloropterus","High school diploma",1156.7,7
"Arctocephalus forsteri","High school diploma",1566,127
"Arctocephalus_forsteri2","High school diploma",1295.7,60
"Artibeus_planirostris","High school diploma",1564.3,140
"Asio_flammeus","High school diploma",1393.7,61
"Ateles_hybridus","High school diploma",1390.4,59
"Ateles_paniscus","High school diploma",1290.7,26
"Athene_noctua","High school diploma",1294.3,31
"Athene_noctua2","High school diploma",1153.9,16
"Athene_noctua3","High school diploma",1318.5,58
"Balaeniceps_rex","High school diploma",1545.5,122
"Bison_bonasus","High school diploma",1787.2,215
"Bison_bonasus2","High school diploma",1604.5,147
"Boa_constrictor","High school diploma",1864.8,219
"Bubo_bubo","High school diploma",1271.9,37
"Bubo_bubo2","High school diploma",1265.8,39
"Bubo_scandiacus","High school diploma",1315,34
"Bufonidae","High school diploma",1492.7,100
"Buprestidae","High school diploma",1765.4,212
"Buteo_galapagoensis","High school diploma",1580.2,125
"Cairina_moschata","High school diploma",1539.7,123
"Calliphora_vomitoria","High school diploma",1638.6,154
"Callithrix_argentata","High school diploma",1431.8,94
"Callithrix_penicillata","High school diploma",1281.1,28
"Calloselasma rhodostoma","High school diploma",1731.9,196
"Canis_lupus","High school diploma",1619,148
"Canis_lupus_familiaris","High school diploma",1366.5,62
"Canis_lupus_familiaris2","High school diploma",1255.6,30
"Carlito_syrichta","High school diploma",1321,44
