"Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Chelonoidis_porteri","One/two/three-year technical/university degree",1338.2,15,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Muscardinus_avellanarius","Other",1278.2,15,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Rhinopithecus_roxellana","PhD and more",1215,15,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Rhinopithecus_roxellana","High school + Middle school",1254.1,16,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Athene_noctua2","High school diploma",1153.9,16,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Litoria_infrafrenata","Kindergarten + Primary school",1338.8,16,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Aonyx_cinereus","Master's degree",1195.2,16,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Propithecus_coquereli","One/two/three-year technical/university degree",1236.1,16,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Ailurus_fulgens","Other",1277.6,16,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Haematopus_ater","PhD and more",1190.7,16,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"Felis_silvestris","High school + Middle school",1282.3,17,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Aonyx_cinereus","High school diploma",1233.9,17,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Ailurus_fulgens","Kindergarten + Primary school",1341.4,17,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Ara_ararauna","Master's degree",1224.5,17,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Myocastor_coypus","One/two/three-year technical/university degree",1235.3,17,"Myocastor_coypus","Mammal","Rodent","No","No","No"
"Trichosurus_vulpecula","Other",1302.5,17,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Phascolarctos_cinereus","PhD and more",1177.1,17,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Asio_flammeus","High school + Middle school",1256.6,18,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Aepyceros_melampus","High school diploma",1235.5,18,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Rattus_norvegicus","Kindergarten + Primary school",1345.9,18,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Loris_tardigradus","Master's degree",1197.9,18,"Loris_tardigradus","Mammal","Primate","No","No","No"
"Choloepus_didactylus3","One/two/three-year technical/university degree",1249.4,18,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Athene_noctua2","Other",1273.7,18,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Choloepus_didactylus","PhD and more",1192.2,18,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Callithrix_argentata","High school + Middle school",1238.3,19,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Equus_caballus","High school diploma",1214.9,19,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Tapirus_indicus","Kindergarten + Primary school",1345.5,19,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Choloepus_didactylus2","Master's degree",1213.9,19,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Vicugna_vicugna","One/two/three-year technical/university degree",1238.2,19,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Aonyx_cinereus2","Other",1278.6,19,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Chelonoidis_porteri","PhD and more",1204,19,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Eulemur _coronatus2","High school + Middle school",1291.3,20,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eudyptes chrysolophus","High school diploma",1230.6,20,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Hylobates_agilis","Kindergarten + Primary school",1353.8,20,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Suricata_suricatta","Master's degree",1275.7,20,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"Ara_chloropterus","One/two/three-year technical/university degree",1206,20,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No"
"Macropus_rufogriseus","Other",1291.1,20,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Rattus_norvegicus","PhD and more",1230.7,20,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Choloepus_didactylus","High school + Middle school",1282.7,21,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus2","High school diploma",1301.8,21,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Plathyrrhinus_fusciventris","Kindergarten + Primary school",1365.6,21,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Muscardinus_avellanarius","Master's degree",1208.7,21,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Eudyptes chrysolophus","One/two/three-year technical/university degree",1204.1,21,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Pan_paniscus4","Other",1289,21,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Asio_flammeus","PhD and more",1243.6,21,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Aepyceros_melampus2","High school + Middle school",1311.7,22,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Felis_catus","High school diploma",1248.3,22,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Psittacus_erithacus","Kindergarten + Primary school",1354.3,22,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Bubo_bubo2","Master's degree",1216.6,22,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Choloepus_didactylus2","One/two/three-year technical/university degree",1229.9,22,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Thalassarche_cauta","Other",1293.4,22,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Aonyx_cinereus","PhD and more",1322.3,22,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Phascolarctos_cinereus","High school + Middle school",1283.5,23,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Spheniscus_humboldti","High school diploma",1242.7,23,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Eudyptes chrysolophus","Kindergarten + Primary school",1357.6,23,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Vicugna_pacos2","Master's degree",1310,23,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Aonyx_cinereus","One/two/three-year technical/university degree",1257.8,23,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Phascolarctos_cinereus","Other",1311.2,23,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Agalychnis_callidryas","PhD and more",1234.3,23,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Eudyptes chrysolophus","High school + Middle school",1307.1,24,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Pan_troglodytes2","High school diploma",1265.1,24,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Choloepus_didactylus3","Kindergarten + Primary school",1357.6,24,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Bubo_bubo","Master's degree",1228.5,24,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Athene_noctua2","One/two/three-year technical/university degree",1231.3,24,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Ateles_paniscus","Other",1279.3,24,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Ara_ararauna","PhD and more",1224.4,24,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Tauraco_leucotis","High school + Middle school",1301,25,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No"
"Pan_paniscus4","High school diploma",1279.1,25,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Nestor_meridionalis","Kindergarten + Primary school",1370.8,25,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"Choloepus_didactylus3","Master's degree",1240.5,25,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Columba_livia","One/two/three-year technical/university degree",1284.5,25,"Columba_livia","Bird","Bird (not Raptor)","No","No","No"
"Psittacus_erithacus","Other",1301.2,25,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Athene_noctua2","PhD and more",1285.8,25,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Choloepus_didactylus2","High school + Middle school",1312.8,26,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Ateles_paniscus","High school diploma",1290.7,26,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Vulpes_zerda","Kindergarten + Primary school",1373.4,26,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Vulpes_zerda","Master's degree",1253.2,26,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Athene_noctua","One/two/three-year technical/university degree",1265.9,26,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Athene_noctua3","Other",1307.5,26,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Choloepus_didactylus2","PhD and more",1201.3,26,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Callithrix_penicillata","High school + Middle school",1285.7,27,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Aepyceros_melampus2","High school diploma",1241.7,27,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Acinonyx_jubatus","Kindergarten + Primary school",1376.2,27,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes"
"Ara_chloropterus","Master's degree",1232,27,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No"
"Eudyptes_chrysocome","One/two/three-year technical/university degree",1342.9,27,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"Aepyceros_melampus2","Other",1295.9,27,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Athene_noctua","PhD and more",1314.4,27,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Gulo_gulo","High school + Middle school",1276.3,28,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Callithrix_penicillata","High school diploma",1281.1,28,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Carlito_syrichta","Kindergarten + Primary school",1374.3,28,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Athene_noctua","Master's degree",1288.5,28,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Loris_tardigradus","One/two/three-year technical/university degree",1236,28,"Loris_tardigradus","Mammal","Primate","No","No","No"
"Testudo_hermanni","Other",1319.9,28,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
