"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Procyon_lotor",1452.7,1395.1,1444.9,1337.1,1335.6,1492.5,1487.6,"Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"Propithecus_coquereli",1170.4,1335.6,1452.5,1336.4,1236.1,1446.3,1321.3,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Propithecus_verreauxi",1396.9,1419.5,1402.5,1389.3,1276,1232.6,1350.4,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Psittacus_erithacus",1337,1171.1,1354.3,1336.6,1208.9,1301.2,1420.6,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Pteropus_conspicillatus",1318.2,1402.3,1530.4,1316.3,1458.2,1511.7,1388.4,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"Puma_concolor",1582.3,1684.6,1453.9,1722.3,1709.4,1642.7,1745.5,"Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"Python_bivittatus",1705.7,1631.5,1523,1832.9,1878.5,1734.6,1673.7,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"Python_regius",1799.2,1717.2,1679.8,1760.3,1730.2,1900.1,1697,"Python_regius","Squamata","Snake","No","Yes","No"
"Rattus_norvegicus",1391.8,1379.7,1345.9,1322.2,1359,1504.3,1230.7,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Rhinopithecus_roxellana",1254.1,1185.1,1578.2,1304.8,1317.3,1478.4,1215,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Rhyticeros_cassidix",1571.6,1500.6,1545.6,1437.1,1416.1,1415.7,1424.6,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No"
"Romalea_microptera",1375.3,1715.2,1470.7,1384.9,1413,1391.2,1543.9,"Romalea_microptera","Insect","Orthoptere","No","No","No"
"Saiga_tatarica",1514.7,1411.3,1657.4,1492.9,1469.9,1445.1,1512.2,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Sarcophilus_harrisii",1588.6,1478.2,1520.3,1608.8,1575,1565.3,1615.8,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"Spalax",1438,1622,1644.5,1500.4,1537.2,1716.4,1455.9,"Spalax","Mammal","Rodent","No","No","No"
"Spheniscus_humboldti",1290.5,1242.7,1401.5,1256.3,1214.7,1327.1,1248.4,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Stephanoaetus_coronatus",1615.9,1476.9,1494.1,1546.9,1514.1,1364.9,1502.4,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Strophurus",1560.3,1547,1600.2,1541.6,1507.6,1503.2,1463.2,"Strophurus_","Squamata","Lizard","No","Yes","No"
"Struthio_camelus",1513.9,1662.6,1344.4,1561,1686.7,1453.7,1507.8,"Struthio_camelus","Bird","Bird (not Raptor)","No","No","No"
"Sula_nebouxii",1416.9,1385.6,1443.4,1508.3,1457.4,1571.1,1425.2,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No"
"Sula_sula",1469,1440,1310.6,1460,1456.6,1445.9,1481.9,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No"
"Suricata_suricatta",1178.8,1277.6,1446.1,1275.7,1288.5,1399,1286.9,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"Sus_scrofa",1550.8,1457.3,1627.7,1578.6,1518.3,1674,1682.1,"Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"Tapirus_indicus",1452.9,1307.4,1345.5,1447.8,1378.7,1317.6,1425.3,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Taricha_torosa",1537.2,1504.6,1490.8,1503.9,1409.9,1426.1,1313.8,"Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"Tauraco_leucotis",1301,1312.5,1472,1104.2,1173.7,1107,1069.7,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No"
"Testudo_hermanni",1347.6,1151.8,1232.9,1151.5,1140.4,1319.9,1158.9,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
"Thalassarche_cauta",1564.7,1513.4,1707.2,1504.3,1508.3,1293.4,1403.8,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Theropithecus_gelada",1728.7,1877.8,1696.6,1658.5,1642.5,1770.3,1836.1,"Theropithecus_gelada","Mammal","Primate","No","No","No"
"Thomisus_onustus",1583.6,1664.7,1629.7,1739.2,1779,1590.6,1600.6,"Thomisus_onustus","Spider","Spider","No","Yes","No"
"Tockus_flavirostris",1589.8,1411.9,1626.3,1544.3,1510,1412.2,1392.2,"Tockus_flavirostris","Bird","Bird (not Raptor)","No","No","No"
"Trichosurus_vulpecula",1499.6,1429.2,1541.1,1493.5,1492.2,1302.5,1390.2,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Ursus_arctos_horribilis",1690.8,1742.3,1627.5,1726.5,1684.5,1596.4,1811.8,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"Ursus_maritimus",1546.5,1612.8,1651.1,1651.4,1639.5,1629.1,1776.7,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Ursus_thibetanus",1594.3,1650.5,1629.8,1777,1678.6,1579.4,1677.6,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"Varecia_rubra",1541.3,1387.6,1544.5,1409.1,1464.3,1441.7,1338,"Varecia_rubra","Mammal","Primate","No","No","No"
"Varecia_variegata",1392.2,1415.4,1541.1,1403.6,1401.9,1442.7,1423.9,"Varecia_variegata","Mammal","Primate","No","No","No"
"Vespula_germanica",1640,1810.5,1628.9,1628.2,1605.8,1653.2,1652.6,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"Vicugna_pacos",1314,1388.8,1552.3,1275.8,1351.1,1504,1358.8,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_pacos2",1294.8,1372.8,1312,1310,1295.9,1378.5,1378.1,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_vicugna",1310.6,1202.2,1456.8,1153.4,1238.2,1333.8,1168,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Vipera_ammodytes",1649.9,1674.3,1676.6,1917.3,1817.2,1770,1802.2,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"Vipera_aspis",1776.2,1784,1477.1,1899.6,1809.4,1677.4,1830,"Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"Vulpes_zerda",1386.9,1359.2,1373.4,1253.2,1312.4,1378.5,1342.7,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Zamenis_longissimus",1663.7,1835.4,1524.9,1705.4,1838,1731.1,1737.5,"Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"Zoropsis_spinimana",1718.4,1805.9,1605.8,1764.1,1727.1,1677.3,1791.6,"Zoropsis_spinimana","Spider","Spider","No","Yes","No"
