"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Canis_lupus",1615.5,1619,1334.5,1676.2,1543.3,1434.1,1543.5,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes"
"Canis_lupus_familiaris",1458,1366.5,1446.3,1561.2,1514.7,1627.4,1664.6,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Canis_lupus_familiaris2",1188.8,1255.6,1491.2,1270.2,1205.9,1126.1,1466.2,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Carlito_syrichta",1505.9,1321,1374.3,1387,1429.5,1502.5,1367.6,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Centurio_senex",1775.1,1639.2,1768.8,1747.1,1605.7,1800.5,1732.1,"Centurio_senex","Mammal","Chiroptera","No","No","No"
"Cerdocyon_thous",1431,1373.4,1441.6,1338.3,1363.5,1456.1,1341.4,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Chelonoidis_porteri",1383.2,1299.8,1401.5,1199.2,1338.2,1439.2,1204,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Choloepus_didactylus",1282.7,1372.5,1513.5,1289.2,1324.1,1467.4,1192.2,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus2",1312.8,1301.8,1564.6,1213.9,1229.9,1339.9,1201.3,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Choloepus_didactylus3",1211.4,1376.3,1357.6,1240.5,1249.4,1350.6,1152.8,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Chroicocephalus_scopulinus",1475.6,1308.4,1507,1375.1,1321.4,1378.7,1211,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No"
"Columba_livia",1352.1,1186.7,1428.9,1348.7,1284.5,1347.3,1129.5,"Columba_livia","Bird","Bird (not Raptor)","No","No","No"
"Conolophus_pallidus",1673.7,1737.9,1536.5,1667.7,1665.5,1479.2,1613.5,"Conolophus_pallidus","Squamata","Lizard","No","No","No"
"Corvus",1417,1466.5,1456.3,1430,1477.1,1400.5,1625.1,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Corvus2",1324.8,1384.4,1458.1,1421.7,1474.2,1370.1,1342.9,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Crocodylus_porosus",1804.1,1811,1532.6,2002.9,1991,1746.3,1872.4,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes"
"Crocuta_crocuta",1641.5,1698.7,1571,1669.5,1829,1566.6,1826.1,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes"
"Crotalus_atrox",1827.4,1683,1546.8,1798.4,1812,1663.3,1740.2,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Crotalus2",1694.1,1840,1399,1838.4,1879.6,1762.4,1680.1,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes"
"Cryptoprocto _ferox",1450.3,1518.8,1421.1,1517.9,1447.5,1443.2,1598.5,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cynictis_penicillata",1596,1493.5,1451.2,1542.5,1491.1,1512.1,1492.8,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Dasypus_novemcinctus",1467.6,1480,1472.1,1402.3,1307.8,1349.7,1338.4,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Daubentonia_madagascariensis",1508.6,1578.5,1508.5,1634.1,1594.8,1795.2,1481.8,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Dendroaspis_angusticeps",1597.5,1728.2,1714.4,1757.8,1799.6,1719.1,1747.2,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Desmodus_rotondus",1623.1,1605.1,1400.8,1633.4,1521.7,1628.8,1481.6,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Didelphis_virginiana",1510.1,1478,1473.8,1416.6,1472.8,1423,1391.4,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Equus_caballus",1215.9,1214.9,1391.7,1147.8,1224.9,1380.8,1351.1,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Eudyptes chrysolophus",1307.1,1230.6,1357.6,1339.1,1204.1,1495,1238.7,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Eudyptes_chrysocome",1479.7,1441.8,1532.1,1304.2,1342.9,1345.7,1280.5,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"Eulemur _coronatus",1517.9,1351.3,1546.5,1346.8,1414.9,1428.2,1328.1,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2",1291.3,1328.2,1280.5,1402.6,1317.3,1358.4,1331.6,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Euphractus _sexcinctus",1531.4,1482.7,1465.9,1424.8,1429,1510.6,1371.3,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
