"","Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"49","Columba_livia","PhD and more",1129.5,7,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
"50","Petroica_macrocephala","High school + Middle school",1190.4,8,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No","Others"
"51","Felis_silvestris","High school diploma",1131.8,8,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"52","Vicugna_pacos2","Kindergarten + Primary school",1312,8,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"53","Tauraco_leucotis","Master's degree",1104.2,8,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"54","Tauraco_leucotis","One/two/three-year technical/university degree",1173.7,8,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"55","Oryctolagus_cuniculus","Other",1224.8,8,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"56","Loris_tardigradus","PhD and more",1112.6,8,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"57","Muscardinus_avellanarius","High school + Middle school",1184.8,9,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"58","Muscardinus_avellanarius","High school diploma",1084.4,9,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"59","Phascolarctos_cinereus","Kindergarten + Primary school",1319.1,9,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"60","Testudo_hermanni","Master's degree",1151.5,9,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"61","Felis_silvestris","One/two/three-year technical/university degree",1154.8,9,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"62","Giraffa_camelopardalis_reticulata","Other",1253.3,9,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"63","Aonyx_cinereus2","PhD and more",1163.6,9,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"64","Ara_ararauna","High school + Middle school",1184.1,10,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"65","Rhinopithecus_roxellana","High school diploma",1185.1,10,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"66","Aonyx_cinereus","Kindergarten + Primary school",1319.1,10,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"67","Spheniscus_humboldti","Master's degree",1256.3,10,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"68","Canis_lupus_familiaris2","One/two/three-year technical/university degree",1205.9,10,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"69","Litoria_infrafrenata","Other",1253.9,10,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"70","Myocastor_coypus","PhD and more",1135.3,10,"Myocastor_coypus","Mammal","Rodent","No","No","No","Others"
"71","Ateles_paniscus","High school + Middle school",1204.6,11,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"72","Psittacus_erithacus","High school diploma",1171.1,11,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"73","Canis_lupus","Kindergarten + Primary school",1334.5,11,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"74","Phascolarctos_cinereus","Master's degree",1123.7,11,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"75","Aonyx_cinereus2","One/two/three-year technical/university degree",1231.6,11,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"76","Loris_tardigradus","Other",1260.8,11,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"77","Phascolarctos_cinereus2","PhD and more",1187.6,11,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"78","Equus_caballus","High school + Middle school",1215.9,12,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"79","Vicugna_vicugna","High school diploma",1202.2,12,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"80","Loris_tardigradus","Kindergarten + Primary school",1335.4,12,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"81","Giraffa_camelopardalis_reticulata","Master's degree",1171,12,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"82","Lemur_catta","One/two/three-year technical/university degree",1208.2,12,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"83","Propithecus_verreauxi","Other",1232.6,12,"Propithecus_verreauxi","Mammal","Primate","No","No","No","Primate"
"84","Vicugna_vicugna","PhD and more",1168,12,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"85","Lemur_catta","High school + Middle school",1228.8,13,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"86","Testudo_hermanni","High school diploma",1151.8,13,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"87","Arctocephalus forsteri","Kindergarten + Primary school",1329.5,13,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No","Others"
"88","Ailurus_fulgens","Master's degree",1183.7,13,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"89","Litoria_infrafrenata","One/two/three-year technical/university degree",1219.7,13,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"90","Lemur_catta2","Other",1251.1,13,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"91","Choloepus_didactylus3","PhD and more",1152.8,13,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"92","Choloepus_didactylus3","High school + Middle school",1211.4,14,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"93","Aonyx_cinereus2","High school diploma",1212.6,14,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"94","Athene_noctua","Kindergarten + Primary school",1325.1,14,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"95","Chelonoidis_porteri","Master's degree",1199.2,14,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"96","Psittacus_erithacus","One/two/three-year technical/university degree",1208.9,14,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"97","Asio_flammeus","Other",1263.2,14,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"98","Chroicocephalus_scopulinus","PhD and more",1211,14,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"99","Ailurus_fulgens","High school + Middle school",1222,15,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"100","Columba_livia","High school diploma",1186.7,15,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
"101","Struthio_camelus","Kindergarten + Primary school",1344.4,15,"Struthio_camelus","Bird","Bird (not Raptor)","No","No","No","Others"
"102","Canis_lupus_familiaris2","Master's degree",1270.2,15,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"103","Chelonoidis_porteri","One/two/three-year technical/university degree",1338.2,15,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
