;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
73;Evarcha_arcuata ;Evarcha_arcuata;Spider;Spider;No;Yes;No
74;Felis_catus ;Felis_catus;Mammal;Felidae;No;Yes;No
75;Felis_silvestris ;Felis_silvestris_;Mammal;Felidae;No;No;No
76;Geronticus_eremita ;Geronticus_eremita;Bird;Bird (not Raptor);No;Yes;No
77;Giraffa_camelopardalis_reticulata ;Giraffa_camelopardalis_reticulata;Mammal;Ungulate;No;No;No
78;Gorilla_Gorilla_Beringei ;Gorilla_Gorilla_Beringei;Mammal;Primate;No;No;Yes
79;Gorilla_gorilla_gorilla ;Gorilla_Gorilla_Gorilla;Mammal;Primate;No;No;Yes
80;Gulo_gulo ;Gulo_gulo;Mammal;Mustelidae;No;Yes;No
81;Gulo_gulo2 ;Gulo_gulo;Mammal;Mustelidae;No;Yes;No
82;Gymnogyps_californianus ;Gymnogyps_californianus;Bird;Raptor;No;No;No
83;Gypaetus_barbatus ;Gypaetus_barbatus;Bird;Raptor;No;Yes;No
84;Gypaetus_barbatus2 ;Gypaetus_barbatus;Bird;Raptor;No;Yes;No
85;Gyps_rueppelli ;Gyps_rueppelli;Bird;Raptor;No;No;No
86;Haematopus_ater ;Haematopus_ater;Bird;Bird (not Raptor);No;Yes;No
87;Harpia_Harpyja ;Harpia_Harpyja;Bird;Raptor;Yes;No;No
88;Helarctos_malayanus ;Helarctos_malayanus;Mammal;Ursus;No;No;No
89;Hemicentetes_semispinosus ;Hemicentetes_semispinosus;Mammal;Tenrecidae;No;No;No
90;Heterocephalus_glaber ;Heterocephalus_glaber;Mammal;Rodent;No;No;No
91;Hippopotamus_amphibius ;Hippopotamus_amphibius;Mammal;Ungulate;No;No;Yes
92;Hyaena_hyaena ;Hyaena_hyaena;Mammal;Hyenidae;Yes;No;Yes
93;Hyles_euphorbiae ;Hyles_euphorbiae;Insect;Lepidoptera;No;No;No
94;Hylobates_agilis ;Hylobates_agilis;Mammal;Primate;No;No;No
95;Hypsignathus_monstrosus ;Hypsignathus_monstrosu;Mammal;Chiroptera;No;No;No
96;Iguana_iguana ;Iguana_iguana;Squamata;Lizard;No;No;No
