"name","F","M","Not mentioned"
"Malpolon_monspessulanus",1754.2,1614.4,1505.4
"Mandrillus_sphinx",1662.8,1598.7,1545.9
"Mandrillus_sphinx2",1628.2,1625.3,1555.5
"Miopithecus_ogouensis",1295.6,1379.9,1524.9
"Morelia_spilota",1836.4,1740.4,1542.2
"Mungos_mungo",1487.4,1535.6,1590.6
"Muscardinus_avellanarius",1115.7,1177.5,1388
"Mygale",1786.5,1681.8,1565.8
"Myocastor_coypus",1208.2,1382.4,1492.7
"Naja_naja",1991.2,1936,1461.4
"Nasua_narica",1516.4,1391.7,1610.9
"Nasua_nasua",1326.1,1314.2,1329.3
"Necrosyrtes_monachus",1527.6,1576.3,1370.1
"Neofelis_nebulosa",1634.7,1566.1,1577.4
"Nestor_meridionalis",1400.6,1340.7,1591.7
"Notechis_scutatus",1798.7,1706.5,1743.3
"Numida_meleagris",1481.7,1507.9,1597.5
"Nyctereutes_procyonoides",1441.4,1385,1514.3
"Odonata",1583,1607,1486.7
"Odonata2",1531.9,1522.7,1523.4
"Oryctolagus_cuniculus",1074,1173.4,1416.7
"Oryctolagus_cuniculus2",868.7,866.6,1501.8
"Otocolobus_manul",1456.9,1461.9,1548.5
"Pamphagidae",1555.2,1482.8,1381.1
"Pan_paniscus",1372.6,1429.5,1493.7
"Pan_paniscus2",1477,1445,1565.9
"Pan_paniscus3",1418.2,1450.6,1693.1
"Pan_paniscus4",1319.4,1379.7,1453.2
"Pan_troglodytes",1510.8,1577.7,1489.5
"Pan_troglodytes2",1342.6,1320.3,1552
"Panthera_leo",1735.4,1809.8,1575.5
"Panthera_leo2",1704.6,1691.2,1545.5
"Panthera_leo3",1662.4,1824.9,1533.5
"Panthera_onca",1708.5,1788.3,1602.1
"Panthera_onca_2",1662.5,1734,1545.1
"Panthera_onca3",1760.2,1854.4,1635.4
"Panthera_pardus",1764.8,1817.5,1664.2
"Panthera_pardus_3",1772,1735,1540.1
"Panthera_pardus2",1672.6,1748.8,1479.6
"Panthera_tigris2",1675.5,1761.8,1497.7
"Panthera_uncia",1666.7,1695.5,1497
"Papillon",1570.7,1491,1325.2
"Papio_hamadryas",1576.4,1696.7,1549.5
"Pardofelis_temminckii",1529.2,1579.4,1624.6
"Petroica_macrocephala",1045,1065.4,1414.6
"Phacochoerus_africanus",1827,1724.5,1640.9
"Phascolarctos_cinereus",1028.8,1141.9,1318.6
"Phascolarctos_cinereus2",1061.1,1053.9,1249.8
