Name2;Species;Group;Subgroup;PredatorPrimates;Predator;Dangerous
Giraffa_camelopardalis_reticulata ;Giraffa_camelopardalis_reticulata;Mammal;Ungulate;No;No;No
Gorilla_Gorilla_Beringei ;Gorilla_Gorilla_Beringei;Mammal;Primate;No;No;Yes
Gorilla_gorilla_gorilla ;Gorilla_Gorilla_Gorilla;Mammal;Primate;No;No;Yes
Gulo_gulo ;Gulo_gulo;Mammal;Mustelidae;No;Yes;No
Gulo_gulo2 ;Gulo_gulo;Mammal;Mustelidae;No;Yes;No
Gymnogyps_californianus ;Gymnogyps_californianus;Bird;Raptor;No;No;No
Gypaetus_barbatus ;Gypaetus_barbatus;Bird;Raptor;No;Yes;No
Gypaetus_barbatus2 ;Gypaetus_barbatus;Bird;Raptor;No;Yes;No
Gyps_rueppelli ;Gyps_rueppelli;Bird;Raptor;No;No;No
Haematopus_ater ;Haematopus_ater;Bird;Bird (not Raptor);No;Yes;No
Harpia_Harpyja ;Harpia_Harpyja;Bird;Raptor;Yes;No;No
Helarctos_malayanus ;Helarctos_malayanus;Mammal;Ursus;No;No;No
Hemicentetes_semispinosus ;Hemicentetes_semispinosus;Mammal;Tenrecidae;No;No;No
Heterocephalus_glaber ;Heterocephalus_glaber;Mammal;Rodent;No;No;No
Hippopotamus_amphibius ;Hippopotamus_amphibius;Mammal;Ungulate;No;No;Yes
Hyaena_hyaena ;Hyaena_hyaena;Mammal;Hyenidae;Yes;No;Yes
Hyles_euphorbiae ;Hyles_euphorbiae;Insect;Lepidoptera;No;No;No
Hylobates_agilis ;Hylobates_agilis;Mammal;Primate;No;No;No
Hypsignathus_monstrosus ;Hypsignathus_monstrosu;Mammal;Chiroptera;No;No;No
Iguana_iguana ;Iguana_iguana;Squamata;Lizard;No;No;No
Iguana_iguana2 ;Iguana_iguana;Squamata;Lizard;No;No;No
Incilius_alvarius ;Incilius_alvarius;Squamata;Amphibia;No;Yes;No
Incilius_alvarius2 ;Incilius_alvarius;Squamata;Amphibia;No;Yes;No
Intellagama_lesueurii ;Intellagama_lesueurii;Squamata;Lizard;No;Yes;No
Laticauda_laticaudata ;Laticauda_laticaudata;Squamata;Snake;No;Yes;No
Laticauda_saintgironsi ;Laticauda_saintgironsi;Squamata;Snake;No;Yes;No
Lemur_catta ;Lemur_catta;Mammal;Primate;No;Yes;No
Lemur_catta2 ;Lemur_catta;Mammal;Primate;No;Yes;No
Leopardus_wiedii ;Leopardus_wiedii;Mammal;Felidae;No;No;No
Leptailurus_serval ;Leptailurus_serval;Mammal;Felidae;No;Yes;No
Leptoptilos_crumenifer ;Leptoptilos_crumenifer;Bird;Bird (not Raptor);No;No;No
Libellula_quadrimaculata ;Libellula_quadrimaculata;Insect;Odonata;No;Yes;No
Litoria_infrafrenata ;Litoria_infrafrenata;Squamata;Amphibia;No;Yes;No
Loris_tardigradus ;Loris_tardigradus;Mammal;Primate;No;No;No
Loxodonta_africana ;Loxodonta_africana;Mammal;Ungulate;No;No;Yes
Lycaon_pictus ;Lycaon_pictus;Mammal;Canidae;Yes;Yes;Yes
Lycaon_pictus2 ;Lycaon_pictus;Mammal;Canidae;Yes;Yes;Yes
Lynx_rufus ;Lynx_rufus;Mammal;Felidae;No;Yes;No
Lynx_rufus2 ;Lynx_rufus;Mammal;Felidae;No;Yes;No
Macaca_fuscata ;Macaca_fuscata;Mammal;Primate;No;Yes;No
Macaca_silenus ;Macaca_silenus;Mammal;Primate;No;Yes;No
Macronectes_halli ;Macronectes_halli;Bird;Bird (not Raptor);No;No;No
