"Name","Age","EloScore","EloRank"
"Miopithecus_ogouensis","- 30 years old",1357.1,55
"Morelia_spilota","- 30 years old",1822.4,214
"Mungos_mungo","- 30 years old",1510.8,101
"Muscardinus_avellanarius","- 30 years old",1126.1,7
"Mygale","- 30 years old",1814.9,193
"Myocastor_coypus","- 30 years old",1273.5,47
"Naja_naja","- 30 years old",1816.6,213
"Nasua_narica","- 30 years old",1426.9,100
"Nasua_nasua","- 30 years old",1349.7,53
"Necrosyrtes_monachus","- 30 years old",1491.8,131
"Neofelis_nebulosa","- 30 years old",1570.6,148
"Nestor_meridionalis","- 30 years old",1336.8,66
"Notechis_scutatus","- 30 years old",1744.6,201
"Numida_meleagris","- 30 years old",1584.7,87
"Nyctereutes_procyonoides","- 30 years old",1390.6,64
"Odonata","- 30 years old",1548.1,132
"Odonata2","- 30 years old",1601.2,150
"Oryctolagus_cuniculus","- 30 years old",1137.7,5
"Oryctolagus_cuniculus2","- 30 years old",866.5,1
"Otocolobus_manul","- 30 years old",1502,93
"Pamphagidae","- 30 years old",1480.9,110
"Pan_paniscus","- 30 years old",1438.5,92
"Pan_paniscus2","- 30 years old",1504.3,103
"Pan_paniscus3","- 30 years old",1412.8,74
"Pan_paniscus4","- 30 years old",1367.6,75
"Pan_troglodytes","- 30 years old",1552.7,139
"Pan_troglodytes2","- 30 years old",1323.3,50
"Panthera_leo","- 30 years old",1746.4,188
"Panthera_leo2","- 30 years old",1657.6,169
"Panthera_leo3","- 30 years old",1698.4,187
"Panthera_onca","- 30 years old",1724.6,184
"Panthera_onca_2","- 30 years old",1685.4,172
"Panthera_onca3","- 30 years old",1808,192
"Panthera_pardus","- 30 years old",1776.1,210
"Panthera_pardus_3","- 30 years old",1716.7,208
"Panthera_pardus2","- 30 years old",1610.7,160
"Panthera_tigris2","- 30 years old",1650,161
"Panthera_uncia","- 30 years old",1667.8,168
"Papillon","- 30 years old",1581.3,120
"Papio_hamadryas","- 30 years old",1637.7,156
"Pardofelis_temminckii","- 30 years old",1533.7,97
"Petroica_macrocephala","- 30 years old",1057.6,2
"Phacochoerus_africanus","- 30 years old",1715.9,190
"Phascolarctos_cinereus","- 30 years old",1073.1,3
"Phascolarctos_cinereus2","- 30 years old",1090.9,4
"Pholcus_phalangioides","- 30 years old",1892.3,218
"Pithecia pithecia","- 30 years old",1549.8,122
"Pithecia pithecia2","- 30 years old",1513.7,115
"Plathyrrhinus_fusciventris","- 30 years old",1531.4,134
"Podarcis_muralis","- 30 years old",1631.2,178
"Pogona_vitticeps","- 30 years old",1391.5,60
"Porphyrio_hochstetteri","- 30 years old",1542.2,108
"Procyon_lotor","- 30 years old",1360.9,58
