"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Aonyx_cinereus","+ 30 years old",1202.3,27,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No"
"Propithecus_coquereli","- 30 years old",1331.6,28,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Bubo_bubo","+ 30 years old",1247,28,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Vicugna_pacos2","- 30 years old",1343.2,29,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Aepyceros_melampus2","+ 30 years old",1222.5,29,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Psittacus_erithacus","- 30 years old",1276.2,30,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Haematopus_ater","+ 30 years old",1254.9,30,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"Bubo_bubo2","- 30 years old",1260.4,31,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Chelonoidis_porteri","+ 30 years old",1254.1,31,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No"
"Asio_flammeus","- 30 years old",1276.6,32,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Eulemur _coronatus2","+ 30 years old",1305,32,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Propithecus_verreauxi","- 30 years old",1318.7,33,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Ara_ararauna","+ 30 years old",1234.4,33,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Vicugna_pacos","- 30 years old",1386.1,34,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vulpes_zerda","+ 30 years old",1296.4,34,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Eudyptes chrysolophus","- 30 years old",1328.8,35,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Rhinopithecus_roxellana","+ 30 years old",1292.8,35,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Ailuropoda_melanoleuca","- 30 years old",1269.4,36,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Athene_noctua","+ 30 years old",1262.4,36,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Choloepus_didactylus","- 30 years old",1283.5,37,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Bubo_bubo2","+ 30 years old",1212.7,37,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Bubo_bubo","- 30 years old",1253.5,38,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Eudyptes_chrysocome","+ 30 years old",1331.9,38,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"Hylobates_agilis","- 30 years old",1351.5,39,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Propithecus_verreauxi","+ 30 years old",1366.4,39,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Arctocephalus_forsteri2","- 30 years old",1284.6,40,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Choloepus_didactylus3","+ 30 years old",1345,40,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Aepyceros_melampus2","- 30 years old",1290.9,41,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Litoria_infrafrenata","+ 30 years old",1348.1,41,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Columba_livia","- 30 years old",1305,42,"Columba_livia","Bird","Bird (not Raptor)","No","No","No"
"Propithecus_coquereli","+ 30 years old",1303.5,42,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Vulpes_zerda","- 30 years old",1275.5,43,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Ailurops_ursinus","+ 30 years old",1345.4,43,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Bubo_scandiacus","- 30 years old",1330,44,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Nestor_meridionalis","+ 30 years old",1302.2,44,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"Lemur_catta","- 30 years old",1268.1,45,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Ateles_paniscus","+ 30 years old",1310.4,45,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Litoria_infrafrenata","- 30 years old",1403.2,46,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Lemur_catta","+ 30 years old",1320.7,46,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Myocastor_coypus","- 30 years old",1273.5,47,"Myocastor_coypus","Mammal","Rodent","No","No","No"
"Chroicocephalus_scopulinus","+ 30 years old",1295.7,47,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No"
"Cerdocyon_thous","- 30 years old",1373.2,48,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Pan_troglodytes2","+ 30 years old",1308.7,48,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Rattus_norvegicus","- 30 years old",1277.1,49,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Psittacus_erithacus","+ 30 years old",1286.9,49,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Pan_troglodytes2","- 30 years old",1323.3,50,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Athene_noctua3","+ 30 years old",1285.5,50,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Callithrix_penicillata","- 30 years old",1404.9,51,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Tapirus_indicus","+ 30 years old",1326.8,51,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Callithrix_argentata","- 30 years old",1345.5,52,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Taricha_torosa","+ 30 years old",1400.9,52,"Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"Nasua_nasua","- 30 years old",1349.7,53,"Nasua_nasua","Mammal","Procyonide","No","No","No"
"Suricata_suricatta","+ 30 years old",1342.5,53,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"Tapirus_indicus","- 30 years old",1382.3,54,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Eulemur _coronatus","+ 30 years old",1422.7,54,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Miopithecus_ogouensis","- 30 years old",1357.1,55,"Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"Nasua_nasua","+ 30 years old",1323.3,55,"Nasua_nasua","Mammal","Procyonide","No","No","No"
"Athene_noctua2","- 30 years old",1353.8,56,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Hylobates_agilis","+ 30 years old",1361.9,56,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Dasypus_novemcinctus","- 30 years old",1330.6,57,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Agalychnis_callidryas","+ 30 years old",1426.2,57,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Procyon_lotor","- 30 years old",1360.9,58,"Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"Aepyceros_melampus","+ 30 years old",1391.3,58,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Ailurops_ursinus","- 30 years old",1307.7,59,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Lemur_catta2","+ 30 years old",1329.1,59,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Pogona_vitticeps","- 30 years old",1391.5,60,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Macropus_rufogriseus","+ 30 years old",1377.7,60,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Eudyptes_chrysocome","- 30 years old",1366,61,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"Pan_paniscus4","+ 30 years old",1331.9,61,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Lemur_catta2","- 30 years old",1352.3,62,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Ailuropoda_melanoleuca","+ 30 years old",1315.3,62,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Macropus_rufogriseus","- 30 years old",1386,63,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Vicugna_pacos2","+ 30 years old",1327.8,63,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Nyctereutes_procyonoides","- 30 years old",1390.6,64,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"Didelphis_virginiana","+ 30 years old",1375.4,64,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Athene_noctua3","- 30 years old",1415.9,65,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Miopithecus_ogouensis","+ 30 years old",1376.9,65,"Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"Nestor_meridionalis","- 30 years old",1336.8,66,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"Pteropus_conspicillatus","+ 30 years old",1360,66,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"Aepyceros_melampus","- 30 years old",1378,67,"Aepyceros_melampus","Mammal","Ungulate","No","No","No"
"Procyon_lotor","+ 30 years old",1395.1,67,"Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"Gulo_gulo","- 30 years old",1457.2,68,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Pan_paniscus2","+ 30 years old",1411.2,68,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Eulemur _coronatus2","- 30 years old",1438.4,69,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Arctocephalus_forsteri2","+ 30 years old",1382.1,69,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Chroicocephalus_scopulinus","- 30 years old",1374.3,70,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No"
"Varecia_rubra","+ 30 years old",1409.9,70,"Varecia_rubra","Mammal","Primate","No","No","No"
"Agalychnis_callidryas","- 30 years old",1404.7,71,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Asio_flammeus","+ 30 years old",1314.7,71,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Leptailurus_serval","- 30 years old",1424.9,72,"Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"Dasypus_novemcinctus","+ 30 years old",1426,72,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Felis_catus","- 30 years old",1379.3,73,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Callithrix_penicillata","+ 30 years old",1469.3,73,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Pan_paniscus3","- 30 years old",1412.8,74,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Sula_sula","+ 30 years old",1407.4,74,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No"
"Pan_paniscus4","- 30 years old",1367.6,75,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Rhyticeros_cassidix","+ 30 years old",1385.9,75,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No"
"Pteropus_conspicillatus","- 30 years old",1439.3,76,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"Pan_paniscus3","+ 30 years old",1445.8,76,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Carlito_syrichta","- 30 years old",1417.7,77,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Romalea_microptera","+ 30 years old",1383.1,77,"Romalea_microptera","Insect","Orthoptere","No","No","No"
"Varecia_variegata","- 30 years old",1469.1,78,"Varecia_variegata","Mammal","Primate","No","No","No"
"Felis_catus","+ 30 years old",1329,78,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Sula_sula","- 30 years old",1414.4,79,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No"
"Gypaetus_barbatus","+ 30 years old",1462,79,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Loxodonta_africana","- 30 years old",1386.2,80,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Varecia_variegata","+ 30 years old",1382.1,80,"Varecia_variegata","Mammal","Primate","No","No","No"
"Haematopus_ater","- 30 years old",1420,81,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"Nasua_narica","+ 30 years old",1389.5,81,"Nasua_narica","Mammal","Procyonide","No","No","No"
