"","name","- 30 years old","+ 30 years old"
"179","Psittacus_erithacus",30,49
"180","Pteropus_conspicillatus",76,66
"181","Puma_concolor",179,185
"182","Python_bivittatus",195,214
"183","Python_regius",197,208
"184","Rattus_norvegicus",49,90
"185","Rhinopithecus_roxellana",20,35
"186","Rhyticeros_cassidix",96,75
"187","Romalea_microptera",89,77
"188","Saiga_tatarica",119,113
"189","Sarcophilus_harrisii",127,157
"190","Spalax",130,116
"191","Spheniscus_humboldti",11,17
"192","Stephanoaetus_coronatus",128,120
"193","Strophurus",126,98
"194","Struthio_camelus",159,145
"195","Sula_nebouxii",86,104
"196","Sula_sula",79,74
"197","Suricata_suricatta",22,53
"198","Sus_scrofa",145,154
"199","Tapirus_indicus",54,51
"200","Taricha_torosa",91,52
"201","Tauraco_leucotis",24,6
"202","Testudo_hermanni",6,5
"203","Thalassarche_cauta",114,101
"204","Theropithecus_gelada",206,177
"205","Thomisus_onustus",198,166
"206","Tockus_flavirostris",147,136
"207","Trichosurus_vulpecula",129,83
"208","Ursus_arctos_horribilis",180,192
"209","Ursus_maritimus",116,196
"210","Ursus_thibetanus",212,168
"211","Varecia_rubra",90,70
"212","Varecia_variegata",78,80
"213","Vespula_germanica",158,174
"214","Vicugna_pacos",34,21
"215","Vicugna_pacos2",29,63
"216","Vicugna_vicugna",8,9
"217","Vipera_ammodytes",199,218
"218","Vipera_aspis",216,200
"219","Vulpes_zerda",43,34
"220","Zamenis_longissimus",204,189
"221","Zoropsis_spinimana",181,197
