"name","- 30 years old","+ 30 years old","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Cryptoprocto _ferox",1471.6,1516.1,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Cynictis_penicillata",1518.8,1452.5,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Dasypus_novemcinctus",1330.6,1426,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No"
"Daubentonia_madagascariensis",1584.1,1598.3,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No"
"Dendroaspis_angusticeps",1796.2,1770.9,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes"
"Desmodus_rotondus",1659.3,1623.2,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No"
"Didelphis_virginiana",1555.9,1375.4,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Equus_caballus",1241.2,1257.1,"Equus_caballus","Mammal","Ungulate","No","No","No"
"Eudyptes chrysolophus",1328.8,1206.9,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Eudyptes_chrysocome",1366,1331.9,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No"
"Eulemur _coronatus",1413.9,1422.7,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Eulemur _coronatus2",1438.4,1305,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Euphractus _sexcinctus",1420.9,1454.8,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Evarcha_arcuata",1753.9,1755.7,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Felis_catus",1379.3,1329,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_silvestris",1163.8,1135.5,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Geronticus_eremita",1673.2,1540,"Geronticus_eremita","Bird","Bird (not Raptor)","No","Yes","No"
"Giraffa_camelopardalis_reticulata",1300.4,1230.2,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Gorilla_Gorilla_Beringei",1706.4,1514.9,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla",1585,1723.3,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gulo_gulo",1457.2,1521.9,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2",1595.7,1617.2,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gymnogyps_californianus",1654,1529,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gypaetus_barbatus",1457.6,1462,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2",1572.6,1521,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli",1623.8,1512.4,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Haematopus_ater",1420,1254.9,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"Harpia_Harpyja",1479.2,1458.4,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Helarctos_malayanus",1628.4,1668.8,"Helarctos_malayanus","Mammal","Ursus","No","No","No"
"Hemicentetes_semispinosus",1589.9,1478.3,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"Heterocephalus_glaber",1672.2,1729.7,"Heterocephalus_glaber","Mammal","Rodent","No","No","No"
