"name","- 30 years old","+ 30 years old"
"Pan_troglodytes",1552.7,1487.1
"Pan_troglodytes2",1323.3,1308.7
"Panthera_leo",1746.4,1755.9
"Panthera_leo2",1657.6,1788
"Panthera_leo3",1698.4,1811.6
"Panthera_onca",1724.6,1799.1
"Panthera_onca_2",1685.4,1751.7
"Panthera_onca3",1808,1815.6
"Panthera_pardus",1776.1,1762.8
"Panthera_pardus_3",1716.7,1821.7
"Panthera_pardus2",1610.7,1646.2
"Panthera_tigris2",1650,1744.2
"Panthera_uncia",1667.8,1668.6
"Papillon",1581.3,1477.1
"Papio_hamadryas",1637.7,1604.1
"Pardofelis_temminckii",1533.7,1591.3
"Petroica_macrocephala",1057.6,1008.4
"Phacochoerus_africanus",1715.9,1862.1
"Phascolarctos_cinereus",1073.1,1094.8
"Phascolarctos_cinereus2",1090.9,988.6
"Pholcus_phalangioides",1892.3,1878.8
"Pithecia pithecia",1549.8,1512.5
"Pithecia pithecia2",1513.7,1566.8
"Plathyrrhinus_fusciventris",1531.4,1531.4
"Podarcis_muralis",1631.2,1653
"Pogona_vitticeps",1391.5,1524.1
"Porphyrio_hochstetteri",1542.2,1414.1
"Procyon_lotor",1360.9,1395.1
"Propithecus_coquereli",1331.6,1303.5
"Propithecus_verreauxi",1318.7,1366.4
"Psittacus_erithacus",1276.2,1286.9
"Pteropus_conspicillatus",1439.3,1360
"Puma_concolor",1706.3,1756.3
"Python_bivittatus",1724,1840.7
"Python_regius",1724,1842.4
"Rattus_norvegicus",1277.1,1384
"Rhinopithecus_roxellana",1286.7,1292.8
"Rhyticeros_cassidix",1486.2,1385.9
"Romalea_microptera",1473.4,1383.1
"Saiga_tatarica",1471.7,1456.2
"Sarcophilus_harrisii",1557.4,1605.4
"Spalax",1573.6,1513.6
"Spheniscus_humboldti",1175.6,1203
"Stephanoaetus_coronatus",1550.4,1487.8
"Strophurus",1580.2,1495.3
"Struthio_camelus",1585.4,1538.1
"Sula_nebouxii",1456.4,1444.1
"Sula_sula",1414.4,1407.4
"Suricata_suricatta",1225.5,1342.5
"Sus_scrofa",1535.7,1551.2
"Tapirus_indicus",1382.3,1326.8
"Taricha_torosa",1489.8,1400.9
"Tauraco_leucotis",1223.4,1108.5
"Testudo_hermanni",1159.9,1075.4
"Thalassarche_cauta",1569.7,1510
"Theropithecus_gelada",1713.4,1674.9
