"name","variable","value"
"Nestor_meridionalis","- 30 years old",1336.8
"Notechis_scutatus","- 30 years old",1744.6
"Numida_meleagris","- 30 years old",1584.7
"Nyctereutes_procyonoides","- 30 years old",1390.6
"Odonata","- 30 years old",1548.1
"Odonata2","- 30 years old",1601.2
"Oryctolagus_cuniculus","- 30 years old",1137.7
"Oryctolagus_cuniculus2","- 30 years old",866.5
"Otocolobus_manul","- 30 years old",1502
"Pamphagidae","- 30 years old",1480.9
"Pan_paniscus","- 30 years old",1438.5
"Pan_paniscus2","- 30 years old",1504.3
"Pan_paniscus3","- 30 years old",1412.8
"Pan_paniscus4","- 30 years old",1367.6
"Pan_troglodytes","- 30 years old",1552.7
"Pan_troglodytes2","- 30 years old",1323.3
"Panthera_leo","- 30 years old",1746.4
"Panthera_leo2","- 30 years old",1657.6
"Panthera_leo3","- 30 years old",1698.4
"Panthera_onca","- 30 years old",1724.6
"Panthera_onca_2","- 30 years old",1685.4
"Panthera_onca3","- 30 years old",1808
"Panthera_pardus","- 30 years old",1776.1
"Panthera_pardus_3","- 30 years old",1716.7
"Panthera_pardus2","- 30 years old",1610.7
"Panthera_tigris2","- 30 years old",1650
"Panthera_uncia","- 30 years old",1667.8
"Papillon","- 30 years old",1581.3
"Papio_hamadryas","- 30 years old",1637.7
"Pardofelis_temminckii","- 30 years old",1533.7
"Petroica_macrocephala","- 30 years old",1057.6
"Phacochoerus_africanus","- 30 years old",1715.9
"Phascolarctos_cinereus","- 30 years old",1073.1
"Phascolarctos_cinereus2","- 30 years old",1090.9
"Pholcus_phalangioides","- 30 years old",1892.3
"Pithecia pithecia","- 30 years old",1549.8
"Pithecia pithecia2","- 30 years old",1513.7
"Plathyrrhinus_fusciventris","- 30 years old",1531.4
"Podarcis_muralis","- 30 years old",1631.2
"Pogona_vitticeps","- 30 years old",1391.5
"Porphyrio_hochstetteri","- 30 years old",1542.2
"Procyon_lotor","- 30 years old",1360.9
"Propithecus_coquereli","- 30 years old",1331.6
"Propithecus_verreauxi","- 30 years old",1318.7
"Psittacus_erithacus","- 30 years old",1276.2
"Pteropus_conspicillatus","- 30 years old",1439.3
"Puma_concolor","- 30 years old",1706.3
"Python_bivittatus","- 30 years old",1724
"Python_regius","- 30 years old",1724
"Rattus_norvegicus","- 30 years old",1277.1
"Rhinopithecus_roxellana","- 30 years old",1286.7
"Rhyticeros_cassidix","- 30 years old",1486.2
"Romalea_microptera","- 30 years old",1473.4
"Saiga_tatarica","- 30 years old",1471.7
"Sarcophilus_harrisii","- 30 years old",1557.4
"Spalax","- 30 years old",1573.6
"Spheniscus_humboldti","- 30 years old",1175.6
"Stephanoaetus_coronatus","- 30 years old",1550.4
"Strophurus","- 30 years old",1580.2
"Struthio_camelus","- 30 years old",1585.4
"Sula_nebouxii","- 30 years old",1456.4
"Sula_sula","- 30 years old",1414.4
"Suricata_suricatta","- 30 years old",1225.5
"Sus_scrofa","- 30 years old",1535.7
"Tapirus_indicus","- 30 years old",1382.3
"Taricha_torosa","- 30 years old",1489.8
"Tauraco_leucotis","- 30 years old",1223.4
"Testudo_hermanni","- 30 years old",1159.9
"Thalassarche_cauta","- 30 years old",1569.7
"Theropithecus_gelada","- 30 years old",1713.4
