"id","judge_id","challenger_1","challenger_2","winner","start_time","end_time","pool_number","survey_id"
917363,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Panthera_onca,Python_bivittatus,Panthera_onca,2020-04-22 20:47:18,2020-04-22 20:47:23,1,11
917364,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Puma_concolor,Pogona_vitticeps,Puma_concolor,2020-04-22 20:47:23,2020-04-22 20:47:29,1,11
917365,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Gorilla_gorilla_gorilla,Lemur_catta,Gorilla_gorilla_gorilla,2020-04-22 20:47:29,2020-04-22 20:47:32,1,11
917366,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Myocastor_coypus,Trichosurus_vulpecula,Trichosurus_vulpecula,2020-04-22 20:47:32,2020-04-22 20:47:40,1,11
917367,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Tapirus_indicus,Suricata_suricatta,Tapirus_indicus,2020-04-22 20:47:40,2020-04-22 20:47:47,1,11
917368,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Callithrix_penicillata,Ateles_paniscus,Ateles_paniscus,2020-04-22 20:47:47,2020-04-22 20:47:50,1,11
917369,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Cerdocyon_thous,Pan_troglodytes,Pan_troglodytes,2020-04-22 20:47:50,2020-04-22 20:47:54,1,11
917370,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Pan_paniscus4,Odonata,Pan_paniscus4,2020-04-22 20:47:54,2020-04-22 20:47:58,1,11
917371,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Bison_bonasus2,Theropithecus_gelada,Bison_bonasus2,2020-04-22 20:47:58,2020-04-22 20:48:01,1,11
917372,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Python_bivittatus,Oryctolagus_cuniculus2,Python_bivittatus,2020-04-22 20:48:01,2020-04-22 20:48:03,1,11
917373,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Incilius_alvarius,Zoropsis_spinimana,Incilius_alvarius,2020-04-22 20:48:03,2020-04-22 20:48:08,1,11
917374,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Vicugna_vicugna,Bubo_scandiacus,Vicugna_vicugna,2020-04-22 20:48:08,2020-04-22 20:48:13,1,11
917375,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Iguana_iguana2,Aepyceros_melampus2,Aepyceros_melampus2,2020-04-22 20:48:13,2020-04-22 20:48:15,1,11
917376,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Saiga_tatarica,Cynictis_penicillata,Saiga_tatarica,2020-04-22 20:48:15,2020-04-22 20:48:18,1,11
917377,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Porphyrio_hochstetteri,Necrosyrtes_monachus,Necrosyrtes_monachus,2020-04-22 20:48:18,2020-04-22 20:48:25,1,11
917378,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Numida_meleagris,Columba_livia,Numida_meleagris,2020-04-22 20:48:25,2020-04-22 20:48:28,1,11
917379,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Conolophus_pallidus,Sus_scrofa,Sus_scrofa,2020-04-22 20:48:28,2020-04-22 20:48:30,1,11
917380,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Haematopus_ater,Geronticus_eremita,Geronticus_eremita,2020-04-22 20:48:30,2020-04-22 20:48:36,1,11
917381,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Canis_lupus,Bubo_bubo,Canis_lupus,2020-04-22 20:48:36,2020-04-22 20:48:38,1,11
917382,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Neofelis_nebulosa,Eudyptes chrysolophus,Neofelis_nebulosa,2020-04-22 20:48:38,2020-04-22 20:48:43,1,11
917383,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Pan_paniscus,Artibeus_planirostris,Pan_paniscus,2020-04-22 20:48:43,2020-04-22 20:48:48,1,11
917384,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Pan_paniscus,Canis_lupus_familiaris,Pan_paniscus,2020-04-22 20:48:48,2020-04-22 20:48:53,1,11
917385,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Cairina_moschata,Vicugna_pacos,Vicugna_pacos,2020-04-22 20:48:53,2020-04-22 20:48:56,1,11
917386,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Struthio_camelus,Panthera_pardus,Panthera_pardus,2020-04-22 20:48:56,2020-04-22 20:48:58,1,11
917387,C_11_judge_137ed1b6055cdf31ae973a501572bc11,Plathyrrhinus_fusciventris,Geronticus_eremita,Geronticus_eremita,2020-04-22 20:48:58,2020-04-22 20:49:08,1,11
917713,C_11_judge_9a6576217302b91bb1204cd5a90dceb8,Canis_lupus_familiaris,Papillon,Canis_lupus_familiaris,2020-04-22 21:17:54,2020-04-22 21:18:04,1,11
917714,C_11_judge_9a6576217302b91bb1204cd5a90dceb8,Vipera_aspis,Iguana_iguana2,Vipera_aspis,2020-04-22 21:18:04,2020-04-22 21:18:10,1,11
917715,C_11_judge_9a6576217302b91bb1204cd5a90dceb8,Pan_troglodytes2,Spheniscus_humboldti,Pan_troglodytes2,2020-04-22 21:18:10,2020-04-22 21:18:18,1,11
917716,C_11_judge_9a6576217302b91bb1204cd5a90dceb8,Gymnogyps_californianus,Harpia_Harpyja,Harpia_Harpyja,2020-04-22 21:18:18,2020-04-22 21:18:24,1,11
