"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"206","Tockus_flavirostris",1510.84,116,"Tockus_flavirostris ","Tockus_flavirostris","Bird","Bird (not Raptor)","No","No","No"
"207","Trichosurus_vulpecula",1431.23,83,"Trichosurus_vulpecula ","Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"208","Ursus_arctos_horribilis",1717.88,187,"Ursus_arctos_horribilis ","Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"209","Ursus_maritimus",1644.72,164,"Ursus_maritimus ","Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"210","Ursus_thibetanus",1707.1,182,"Ursus_thibetanus ","Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"211","Varecia_rubra",1423.26,81,"Varecia_rubra ","Varecia_rubra","Mammal","Primate","No","No","No"
"212","Varecia_variegata",1383.36,70,"Varecia_variegata ","Varecia_variegata","Mammal","Primate","No","No","No"
"213","Vespula_germanica",1686.25,176,"Vespula_germanica ","Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"214","Vicugna_pacos",1326.17,46,"Vicugna_pacos ","Vicugna_pacos","Mammal","Ungulate","No","No","No"
"215","Vicugna_pacos2",1322.95,44,"Vicugna_pacos2 ","Vicugna_pacos","Mammal","Ungulate","No","No","No"
"216","Vicugna_vicugna",1227.65,15,"Vicugna_vicugna ","Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"217","Vipera_ammodytes",1834.06,212,"Vipera_ammodytes ","Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"218","Vipera_aspis",1823.29,211,"Vipera_aspis ","Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"219","Vulpes_zerda",1314.8,40,"Vulpes_zerda ","Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"220","Zamenis_longissimus",1742.41,193,"Zamenis_longissimus ","Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"221","Zoropsis_spinimana",1775.11,203,"Zoropsis_spinimana ","Zoropsis_spinimana","Spider","Spider","No","Yes","No"
