"","Name","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"57","Crocuta_crocuta",1756.86,193,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"58","Crotalus_atrox",1845.71,213,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"59","Crotalus2",1854.31,215,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"60","Cryptoprocto _ferox",1516.27,120,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
"61","Cynictis_penicillata",1476.85,101,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No","Others"
"62","Dasypus_novemcinctus",1354.1,59,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"63","Daubentonia_madagascariensis",1582.17,147,"Daubentonia_madagascariensis","Mammal","Primate","No","No","No","Primate"
"64","Dendroaspis_angusticeps",1801.3,207,"Dendroaspis_angusticeps","Squamata","Snake","No","Yes","Yes","Snake"
"65","Desmodus_rotondus",1593.7,151,"Desmodus_rotundus","Mammal","Chiroptera","No","Yes","No","Others"
"66","Didelphis_virginiana",1410.64,76,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"67","Equus_caballus",1199.4,11,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"68","Eudyptes chrysolophus",1262.56,28,"Eudyptes_chrysolophus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"69","Eudyptes_chrysocome",1306.16,45,"Eudyptes_chrysocome","Bird","Bird(notRaptor)","No","Yes","No","Others"
"70","Eulemur _coronatus",1359.4,62,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"71","Eulemur _coronatus2",1317.77,48,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"72","Euphractus _sexcinctus",1412.25,77,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"73","Evarcha_arcuata",1740.55,186,"Evarcha_arcuata","Spider","Spider","No","Yes","No","Spider"
"74","Felis_catus",1395.7,73,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"75","Felis_silvestris",1166.36,8,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"76","Geronticus_eremita",1570.25,145,"Geronticus_eremita","Bird","Bird(notRaptor)","No","Yes","No","Others"
"77","Giraffa_camelopardalis_reticulata",1218.67,15,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No","Others"
"78","Gorilla_Gorilla_Beringei",1636.05,160,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes","Primate"
"79","Gorilla_gorilla_gorilla",1668.57,168,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes","Primate"
"80","Gulo_gulo",1502.12,112,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No","Others"
"81","Gulo_gulo2",1587.29,149,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No","Others"
"82","Gymnogyps_californianus",1654.82,165,"Gymnogyps_californianus","Bird","Raptor","No","No","No","Raptor"
"83","Gypaetus_barbatus",1468.08,98,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No","Raptor"
"84","Gypaetus_barbatus2",1507.36,114,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No","Raptor"
"85","Gyps_rueppelli",1545.38,135,"Gyps_rueppelli","Bird","Raptor","No","No","No","Raptor"
"86","Haematopus_ater",1292.93,37,"Haematopus_ater","Bird","Bird(notRaptor)","No","Yes","No","Others"
"87","Harpia_Harpyja",1421.97,81,"Harpia_Harpyja","Bird","Raptor","Yes","No","No","Raptor"
"88","Helarctos_malayanus",1673.22,169,"Helarctos_malayanus","Mammal","Ursus","No","No","No","Ursus"
"89","Hemicentetes_semispinosus",1494.91,109,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No","Others"
"90","Heterocephalus_glaber",1666.51,167,"Heterocephalus_glaber","Mammal","Rodent","No","No","No","Others"
"91","Hippopotamus_amphibius",1751.7,189,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes","Others"
"92","Hyaena_hyaena",1732.76,185,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"93","Hyles_euphorbiae",1533.17,129,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No","Others"
"94","Hylobates_agilis",1335.03,54,"Hylobates_agilis","Mammal","Primate","No","No","No","Primate"
"95","Hypsignathus_monstrosus",1588.49,150,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No","Others"
"96","Iguana_iguana",1607.22,155,"Iguana_iguana","Squamata","Lizard","No","No","No","Others"
"97","Iguana_iguana2",1563.42,144,"Iguana_iguana","Squamata","Lizard","No","No","No","Others"
"98","Incilius_alvarius",1450.53,93,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"99","Incilius_alvarius2",1449.18,92,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"100","Intellagama_lesueurii",1553.31,140,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No","Others"
"101","Laticauda_laticaudata",1784.46,200,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No","Snake"
"102","Laticauda_saintgironsi",1853.6,214,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No","Snake"
"103","Lemur_catta",1259.44,27,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"104","Lemur_catta2",1296.21,39,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"105","Leopardus_wiedii",1436.66,87,"Leopardus_wiedii","Mammal","Felidae","No","No","No","Felidae"
"106","Leptailurus_serval",1424.98,85,"Leptailurus_serval","Mammal","Felidae","No","Yes","No","Felidae"
"107","Leptoptilos_crumenifer",1545.2,134,"Leptoptilos_crumenifer","Bird","Bird(notRaptor)","No","No","No","Others"
"108","Libellula_quadrimaculata",1551.24,139,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No","Others"
"109","Litoria_infrafrenata",1289.29,35,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"110","Loris_tardigradus",1217.22,14,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"111","Loxodonta_africana",1548.73,137,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes","Others"
"112","Lycaon_pictus",1684.61,172,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"113","Lycaon_pictus2",1681.89,171,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"114","Lynx_rufus",1650.72,163,"Lynx_rufus","Mammal","Felidae","No","Yes","No","Felidae"
"115","Lynx_rufus2",1534.21,131,"Lynx_rufus","Mammal","Felidae","No","Yes","No","Felidae"
"116","Macaca_fuscata",1532.28,128,"Macaca_fuscata","Mammal","Primate","No","Yes","No","Primate"
"117","Macaca_silenus",1500.55,111,"Macaca_silenus","Mammal","Primate","No","Yes","No","Primate"
"118","Macronectes_halli",1519.54,122,"Macronectes_halli","Bird","Bird(notRaptor)","No","No","No","Others"
"119","Macropus_rufogriseus",1342.64,57,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"120","Malayopython_reticulatus",1865.94,216,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes","Snake"
"121","Malpolon_monspessulanus",1790.95,202,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No","Snake"
"122","Mandrillus_sphinx",1655.69,166,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes","Primate"
"123","Mandrillus_sphinx2",1607.37,156,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes","Primate"
"124","Miopithecus_ogouensis",1406.9,74,"Miopithecus_ogouensis","Mammal","Primate","No","No","No","Primate"
"125","Morelia_spilota",1791.85,204,"Morelia_spilota","Squamata","Snake","No","Yes","No","Snake"
"126","Mungos_mungo",1463.84,96,"Mungos_mungo","Mammal","Mongoose","No","Yes","No","Others"
"127","Muscardinus_avellanarius",1188.38,9,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"128","Mygale",1816.35,209,"Mygale","Spider","Spider","No","Yes","No","Spider"
"129","Myocastor_coypus",1302.18,41,"Myocastor_coypus","Mammal","Rodent","No","No","No","Others"
"130","Naja_naja",1911.09,219,"Naja_naja","Squamata","Snake","No","Yes","Yes","Snake"
"131","Nasua_narica",1448.33,91,"Nasua_narica","Mammal","Procyonide","No","No","No","Others"
"132","Nasua_nasua",1369.24,67,"Nasua_nasua","Mammal","Procyonide","No","No","No","Others"
"133","Necrosyrtes_monachus",1513.02,117,"Necrosyrtes_monachus","Bird","Raptor","No","No","No","Raptor"
"134","Neofelis_nebulosa",1624.3,159,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes","Felidae"
